CODERIVOLI;LIBELLEVOIE;TYPEVOIE;LIBELLESEUL;CODEQUARTIER;LIBELLEQUARTIER;NOMQUARTIER;COTE;DEBUT;FIN;CODEPOSTAL
A015;CITE CARLE VERNET;CITÉ;CARLE VERNET;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
A015;CITE CARLE VERNET;CITÉ;CARLE VERNET;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
A020;RESIDENCE DES CHARTRONS;RÉSIDENCE;DES CHARTRONS;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
A020;RESIDENCE DES CHARTRONS;RÉSIDENCE;DES CHARTRONS;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
A065;RESIDENCE HAUT BRION;RÉSIDENCE;HAUT BRION;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
A065;RESIDENCE HAUT BRION;RÉSIDENCE;HAUT BRION;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
A094;RESIDENCE LEON BLUM;RÉSIDENCE;LÉON BLUM;08;Quartier 8;Caudéran;Impair;0001;9999;33200
A094;RESIDENCE LEON BLUM;RÉSIDENCE;LÉON BLUM;08;Quartier 8;Caudéran;Pair;0002;9998;33200
A110;RESIDENCE MARLY;RÉSIDENCE;MARLY;08;Quartier 8;Caudéran;Pair;0002;9998;33200
A110;RESIDENCE MARLY;RÉSIDENCE;MARLY;08;Quartier 8;Caudéran;Impair;0001;9999;33200
A115;RESIDENCE DE LA MARTINIQUE;RÉSIDENCE;DE LA MARTINIQUE;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Pair;0002;9998;33300
A115;RESIDENCE DE LA MARTINIQUE;RÉSIDENCE;DE LA MARTINIQUE;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Impair;0001;9999;33300
A130;RESIDENCE OCEAN;RÉSIDENCE;OCÉAN;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
A130;RESIDENCE OCEAN;RÉSIDENCE;OCÉAN;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
A145;RESIDENCE LES PINS FRANCS;RÉSIDENCE;LES PINS FRANCS;08;Quartier 8;Caudéran;Pair;0002;9998;33200
A145;RESIDENCE LES PINS FRANCS;RÉSIDENCE;LES PINS FRANCS;08;Quartier 8;Caudéran;Impair;0001;9999;33200
A150;CITE LE RENARD;CITÉ;LE RENARD;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
A150;CITE LE RENARD;CITÉ;LE RENARD;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
B020;BASSIN A FLOT;BASSIN;À FLOT;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
B020;BASSIN A FLOT;BASSIN;À FLOT;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
C1001;VOIE CYCLABLE DE L'AVENUE DE LAROQUE;VOIE CYCLABLE;DE L'AVENUE DE LAROQUE;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
C1001;VOIE CYCLABLE DE L'AVENUE DE LAROQUE;VOIE CYCLABLE;DE L'AVENUE DE LAROQUE;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
C1002;VOIE CYCLABLE AVENUE DES 40 JOURNAUX;VOIE CYCLABLE;AVENUE DES 40 JOURNAUX;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
C1002;VOIE CYCLABLE AVENUE DES 40 JOURNAUX;VOIE CYCLABLE;AVENUE DES 40 JOURNAUX;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
C1003;VOIE CYCLABLE AVENUE JALLERE;VOIE CYCLABLE;AVENUE JALLÈRE;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
C1003;VOIE CYCLABLE AVENUE JALLERE;VOIE CYCLABLE;AVENUE JALLÈRE;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
C1004;VOIE CYCLABLE MARCEL DASSAULT;VOIE CYCLABLE;MARCEL DASSAULT;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
C1004;VOIE CYCLABLE MARCEL DASSAULT;VOIE CYCLABLE;MARCEL DASSAULT;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
C1005;VOIE CYCLABLE ALLEES DE BOUTAUT;VOIE CYCLABLE;ALLÉES DE BOUTAUT;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
C1005;VOIE CYCLABLE ALLEES DE BOUTAUT;VOIE CYCLABLE;ALLÉES DE BOUTAUT;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
C1006;VOIE CYCLABLE BORDEAUX-LACANAU;VOIE CYCLABLE;BORDEAUX-LACANAU;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
C1006;VOIE CYCLABLE BORDEAUX-LACANAU;VOIE CYCLABLE;BORDEAUX-LACANAU;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
C1008;VOIE CYCLABLE PONT SAINT JEAN RIVE DROITE;VOIE CYCLABLE;PONT SAINT JEAN RIVE DROITE;07;Quartier 7;Bastide;Pair;0002;9998;33100
C1008;VOIE CYCLABLE PONT SAINT JEAN RIVE DROITE;VOIE CYCLABLE;PONT SAINT JEAN RIVE DROITE;07;Quartier 7;Bastide;Impair;0001;9999;33100
P1000;RESIDENCE SYLVA;RÉSIDENCE;SYLVA;08;Quartier 8;Caudéran;Pair;0002;9998;33200
P1000;RESIDENCE SYLVA;RÉSIDENCE;SYLVA;08;Quartier 8;Caudéran;Impair;0001;9999;33200
P1001;VOIE ACCES DES FLORALIES;VOIE;ACCÈS DES FLORALIES;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
P1001;VOIE ACCES DES FLORALIES;VOIE;ACCÈS DES FLORALIES;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
P1002;ALLEE MARGAUX;ALLÉE;MARGAUX;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
P1002;ALLEE MARGAUX;ALLÉE;MARGAUX;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
P1003;RESIDENCE LES ORANGERS;RÉSIDENCE;LES ORANGERS;08;Quartier 8;Caudéran;Pair;0002;9998;33200
P1003;RESIDENCE LES ORANGERS;RÉSIDENCE;LES ORANGERS;08;Quartier 8;Caudéran;Impair;0001;9999;33200
P1004;RESIDENCE LA CHENERAIE;RÉSIDENCE;LA CHÊNERAIE;08;Quartier 8;Caudéran;Pair;0002;9998;33200
P1004;RESIDENCE LA CHENERAIE;RÉSIDENCE;LA CHÊNERAIE;08;Quartier 8;Caudéran;Impair;0001;9999;33200
P1005;RESIDENCE LE CLOS LEONIE;RÉSIDENCE;LE CLOS LÉONIE;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
P1005;RESIDENCE LE CLOS LEONIE;RÉSIDENCE;LE CLOS LÉONIE;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
P1006;RESIDENCE SAINT JULIEN;RÉSIDENCE;SAINT JULIEN;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
P1006;RESIDENCE SAINT JULIEN;RÉSIDENCE;SAINT JULIEN;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
P1007;RESIDENCE FABELLE;RÉSIDENCE;FABELLE;08;Quartier 8;Caudéran;Pair;0002;9998;33200
P1007;RESIDENCE FABELLE;RÉSIDENCE;FABELLE;08;Quartier 8;Caudéran;Impair;0001;9999;33200
P1008;VOIE IKEA;VOIE;IKEA;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
P1008;VOIE IKEA;VOIE;IKEA;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
P1009;RESIDENCE GAMBETTA;RÉSIDENCE;GAMBETTA;08;Quartier 8;Caudéran;Impair;0001;9999;33200
P1009;RESIDENCE GAMBETTA;RÉSIDENCE;GAMBETTA;08;Quartier 8;Caudéran;Pair;0002;9998;33200
P1010;VOIE PARC DE BORGUESE;VOIE;PARC DE BORGUESE;08;Quartier 8;Caudéran;Impair;0001;9999;33200
P1010;VOIE PARC DE BORGUESE;VOIE;PARC DE BORGUESE;08;Quartier 8;Caudéran;Pair;0002;9998;33200
P1011;RESIDENCE LE QUERCY;RÉSIDENCE;LE QUERCY;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
P1011;RESIDENCE LE QUERCY;RÉSIDENCE;LE QUERCY;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
P1012;LOTISSEMENT SAINT LOUIS N°6;LOTISSEMENT;SAINT LOUIS N°6;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
P1012;LOTISSEMENT SAINT LOUIS N°6;LOTISSEMENT;SAINT LOUIS N°6;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
P1013;VOIE VILLAGE ANDALOU;VOIE;VILLAGE ANDALOU;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
P1013;VOIE VILLAGE ANDALOU;VOIE;VILLAGE ANDALOU;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
P1014;RESIDENCE DU TEMPLE;RÉSIDENCE;DU TEMPLE;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Impair;0001;9999;33300
P1014;RESIDENCE DU TEMPLE;RÉSIDENCE;DU TEMPLE;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Pair;0002;9998;33300
P1015;VOIE NOUVELLE EDF;VOIE;NOUVELLE EDF;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Pair;0002;9998;33300
P1015;VOIE NOUVELLE EDF;VOIE;NOUVELLE EDF;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Impair;0001;9999;33300
P1016;RESIDENCE CEREY;RÉSIDENCE;CEREY;08;Quartier 8;Caudéran;Impair;0001;9999;33200
P1016;RESIDENCE CEREY;RÉSIDENCE;CEREY;08;Quartier 8;Caudéran;Pair;0002;9998;33200
P1017;CITE SNCF BOSC;CITÉ;SNCF BOSC;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
P1017;CITE SNCF BOSC;CITÉ;SNCF BOSC;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
P1018;PASSAGE DU PARC DE BACALAN;PASSAGE;DU PARC DE BACALAN;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
P1018;PASSAGE DU PARC DE BACALAN;PASSAGE;DU PARC DE BACALAN;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
P1019;RESIDENCE VENDOME;RÉSIDENCE;VENDÔME;08;Quartier 8;Caudéran;Pair;0002;9998;33200
P1019;RESIDENCE VENDOME;RÉSIDENCE;VENDÔME;08;Quartier 8;Caudéran;Impair;0001;9999;33200
P1020;RESIDENCE DES ACACIAS;RÉSIDENCE;DES ACACIAS;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
P1020;RESIDENCE DES ACACIAS;RÉSIDENCE;DES ACACIAS;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
P1021;VOIE ACCELERATION DES MOTARDS;VOIE;ACCÉLÉRATION DES MOTARDS;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
P1021;VOIE ACCELERATION DES MOTARDS;VOIE;ACCÉLÉRATION DES MOTARDS;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
P1022;DOMAINE DES HIRONDELLES;DOMAINE;DES HIRONDELLES;08;Quartier 8;Caudéran;Impair;0001;9999;33200
P1022;DOMAINE DES HIRONDELLES;DOMAINE;DES HIRONDELLES;08;Quartier 8;Caudéran;Pair;0002;9998;33200
P1024;RESIDENCE LE NEUILLY;RÉSIDENCE;LE NEUILLY;08;Quartier 8;Caudéran;Pair;0002;9998;33200
P1024;RESIDENCE LE NEUILLY;RÉSIDENCE;LE NEUILLY;08;Quartier 8;Caudéran;Impair;0001;9999;33200
P1025;RESIDENCE LANDIRAS;RÉSIDENCE;LANDIRAS;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
P1025;RESIDENCE LANDIRAS;RÉSIDENCE;LANDIRAS;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
P1026;RESIDENCE ARLAC;RÉSIDENCE;ARLAC;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
P1026;RESIDENCE ARLAC;RÉSIDENCE;ARLAC;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
P1027;RESIDENCE ANDRE ALMEY;RÉSIDENCE;ANDRÉ ALMEY;08;Quartier 8;Caudéran;Pair;0002;9998;33200
P1027;RESIDENCE ANDRE ALMEY;RÉSIDENCE;ANDRÉ ALMEY;08;Quartier 8;Caudéran;Impair;0001;9999;33200
P1028;RESIDENCE LE TREUIL;RÉSIDENCE;LE TREUIL;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
P1028;RESIDENCE LE TREUIL;RÉSIDENCE;LE TREUIL;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
P1029;RESIDENCE DU DOMAINE;RÉSIDENCE;DU DOMAINE;08;Quartier 8;Caudéran;Pair;0002;9998;33200
P1029;RESIDENCE DU DOMAINE;RÉSIDENCE;DU DOMAINE;08;Quartier 8;Caudéran;Impair;0001;9999;33200
P1030;VOIE TOY'S R'US;VOIE;TOY'S R'US;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
P1030;VOIE TOY'S R'US;VOIE;TOY'S R'US;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
P1031;CENTRE COMMERCIAL GALIN;CENTRE;COMMERCIAL GALIN;07;Quartier 7;Bastide;Pair;0002;9998;33100
P1031;CENTRE COMMERCIAL GALIN;CENTRE;COMMERCIAL GALIN;07;Quartier 7;Bastide;Impair;0001;9999;33100
P1032;RESIDENCE PLEIN SOLEIL;RÉSIDENCE;PLEIN SOLEIL;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
P1032;RESIDENCE PLEIN SOLEIL;RÉSIDENCE;PLEIN SOLEIL;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
P1033;RESIDENCE CLAIREFONTAINE;RÉSIDENCE;CLAIREFONTAINE;08;Quartier 8;Caudéran;Impair;0001;9999;33200
P1033;RESIDENCE CLAIREFONTAINE;RÉSIDENCE;CLAIREFONTAINE;08;Quartier 8;Caudéran;Pair;0002;9998;33200
P1034;VOIE PARC DES TOURELLES;VOIE;PARC DES TOURELLES;08;Quartier 8;Caudéran;Impair;0001;9999;33200
P1034;VOIE PARC DES TOURELLES;VOIE;PARC DES TOURELLES;08;Quartier 8;Caudéran;Pair;0002;9998;33200
P1035;VOIE LEROY MERLIN;VOIE;LEROY MERLIN;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
P1035;VOIE LEROY MERLIN;VOIE;LEROY MERLIN;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
P1036;VOIE AUCHAN;VOIE;AUCHAN;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
P1036;VOIE AUCHAN;VOIE;AUCHAN;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
P1037;ECHANGEUR DU JONC;ÉCHANGEUR;DU JONC;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
P1037;ECHANGEUR DU JONC;ÉCHANGEUR;DU JONC;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
P1038;RESIDENCE SHANGRI'AL;RÉSIDENCE;SHANGRI'AL;08;Quartier 8;Caudéran;Pair;0002;9998;33200
P1038;RESIDENCE SHANGRI'AL;RÉSIDENCE;SHANGRI'AL;08;Quartier 8;Caudéran;Impair;0001;9999;33200
P1039;RESIDENCE LIOTARD;RÉSIDENCE;LIOTARD;05;Quartier 5;Nansouty Saint-Genès;Pair;0002;9998;33800
P1039;RESIDENCE LIOTARD;RÉSIDENCE;LIOTARD;05;Quartier 5;Nansouty Saint-Genès;Impair;0001;9999;33800
P1040;ECHANGEUR DE LABARDE;ÉCHANGEUR;DE LABARDE;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
P1040;ECHANGEUR DE LABARDE;ÉCHANGEUR;DE LABARDE;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
P1041;RESIDENCE LE CLOS SAINT LOUIS;RÉSIDENCE;LE CLOS SAINT LOUIS;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
P1041;RESIDENCE LE CLOS SAINT LOUIS;RÉSIDENCE;LE CLOS SAINT LOUIS;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
P1042;BOULEVARD DE L'ENTRE DEUX MERS;BOULEVARD;DE L'ENTRE DEUX MERS;07;Quartier 7;Bastide;Pair;0002;9998;33100
P1042;BOULEVARD DE L'ENTRE DEUX MERS;BOULEVARD;DE L'ENTRE DEUX MERS;07;Quartier 7;Bastide;Impair;0001;9999;33100
P1043;VOIE DU CHR;VOIE;DU CHR;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
P1043;VOIE DU CHR;VOIE;DU CHR;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
P1044;PASSAGE ETCHENIQUE;PASSAGE;ETCHENIQUE;08;Quartier 8;Caudéran;Impair;0001;9999;33200
P1044;PASSAGE ETCHENIQUE;PASSAGE;ETCHENIQUE;08;Quartier 8;Caudéran;Pair;0002;9998;33200
P1045;PASSAGE FRANCIN;PASSAGE;FRANCIN;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
P1045;PASSAGE FRANCIN;PASSAGE;FRANCIN;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
P1052;SQUARE VINET;SQUARE;VINET;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
P1052;SQUARE VINET;SQUARE;VINET;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
X005;PONT D'AQUITAINE;PONT;D'AQUITAINE;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
X005;PONT D'AQUITAINE;PONT;D'AQUITAINE;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
X008;ROCADE DE BORDEAUX NORD;ROCADE;DE BORDEAUX NORD;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
X008;ROCADE DE BORDEAUX NORD;ROCADE;DE BORDEAUX NORD;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
X015;PONT DE PIERRE;PONT;DE PIERRE;05;Quartier 5;Nansouty Saint-Genès;Impair;5001;9999;33000
X015;PONT DE PIERRE;PONT;DE PIERRE;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;5002;9998;33000
X015;PONT DE PIERRE;PONT;DE PIERRE;07;Quartier 7;Bastide;Pair;0002;5000;33100
X015;PONT DE PIERRE;PONT;DE PIERRE;07;Quartier 7;Bastide;Impair;0001;4999;33100
X016;PONT SAINT JEAN;PONT;SAINT JEAN;07;Quartier 7;Bastide;Pair;5002;9998;33100
X016;PONT SAINT JEAN;PONT;SAINT JEAN;07;Quartier 7;Bastide;Impair;5001;9999;33100
X016;PONT SAINT JEAN;PONT;SAINT JEAN;06;Quartier 6;Bordeaux sud;Pair;0002;5000;33800
X016;PONT SAINT JEAN;PONT;SAINT JEAN;06;Quartier 6;Bordeaux sud;Impair;0001;4999;33800
X029;PONT SAINT EMILION;PONT;SAINT EMILION;07;Quartier 7;Bastide;Pair;0002;9998;33100
X029;PONT SAINT EMILION;PONT;SAINT EMILION;07;Quartier 7;Bastide;Impair;0001;9999;33100
X032;PONT DU JONC;PONT;DU JONC;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
X032;PONT DU JONC;PONT;DU JONC;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
X033;PONT EN U;PONT;EN U;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
X033;PONT EN U;PONT;EN U;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
X054;GARE SAINT LOUIS;GARE;SAINT LOUIS;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
X054;GARE SAINT LOUIS;GARE;SAINT LOUIS;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
X098;PONT JACQUES CHABAN-DELMAS;PONT;JACQUES CHABAN-DELMAS;01;Quartier 1;Bordeaux maritime;Pair;5000;9998;33300
X098;PONT JACQUES CHABAN-DELMAS;PONT;JACQUES CHABAN-DELMAS;01;Quartier 1;Bordeaux maritime;Impair;5001;9999;33300
X098;PONT JACQUES CHABAN-DELMAS;PONT;JACQUES CHABAN-DELMAS;07;Quartier 7;Bastide;Pair;0002;4998;33100
X098;PONT JACQUES CHABAN-DELMAS;PONT;JACQUES CHABAN-DELMAS;07;Quartier 7;Bastide;Impair;0001;4999;33100
0005;AVENUE ABADIE;AVENUE;ABADIE;07;Quartier 7;Bastide;Impair;0001;9999;33100
0005;AVENUE ABADIE;AVENUE;ABADIE;07;Quartier 7;Bastide;Pair;0002;9998;33100
0010;RUE DE L'ABATTOIR;RUE;DE L'ABATTOIR;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
0010;RUE DE L'ABATTOIR;RUE;DE L'ABATTOIR;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
0015;RUE ABBE DE L'EPEE;RUE;ABBÉ DE L'EPÉE;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
0015;RUE ABBE DE L'EPEE;RUE;ABBÉ DE L'EPÉE;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
0020;RUE DE L'ABBESSE;RUE;DE L'ABBESSE;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
0020;RUE DE L'ABBESSE;RUE;DE L'ABBESSE;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
0026;RUE DES ACACIAS;RUE;DES ACACIAS;08;Quartier 8;Caudéran;Impair;0001;9999;33200
0026;RUE DES ACACIAS;RUE;DES ACACIAS;08;Quartier 8;Caudéran;Pair;0002;9998;33200
0035;RUE ACHARD;RUE;ACHARD;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
0035;RUE ACHARD;RUE;ACHARD;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
0040;PLACE ADOLPHE BUSCAILLET;PLACE;ADOLPHE BUSCAILLET;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
0040;PLACE ADOLPHE BUSCAILLET;PLACE;ADOLPHE BUSCAILLET;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
0045;RUE ADOLPHE CHALES;RUE;ADOLPHE CHALÈS;07;Quartier 7;Bastide;Pair;0002;9998;33100
0045;RUE ADOLPHE CHALES;RUE;ADOLPHE CHALÈS;07;Quartier 7;Bastide;Impair;0001;9999;33100
0050;RUE ADOLPHE D'EICHTAL;RUE;ADOLPHE D'EICHTAL;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
0050;RUE ADOLPHE D'EICHTAL;RUE;ADOLPHE D'EICHTAL;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
0055;RUE ADRIEN BAYSSELANCE;RUE;ADRIEN BAYSSELANCE;05;Quartier 5;Nansouty Saint-Genès;Impair;0001;9999;33000
0055;RUE ADRIEN BAYSSELANCE;RUE;ADRIEN BAYSSELANCE;05;Quartier 5;Nansouty Saint-Genès;Pair;0002;9998;33000
0060;IMPASSE D'AGEN;IMPASSE;D'AGEN;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
0060;IMPASSE D'AGEN;IMPASSE;D'AGEN;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
0062;RUE D'AGEN;RUE;D'AGEN;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
0062;RUE D'AGEN;RUE;D'AGEN;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
0066;RUE AGIS CHETY;RUE;AGIS CHÉTY;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
0066;RUE AGIS CHETY;RUE;AGIS CHÉTY;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
0070;RUE ALAUDETTES;RUE;ALAUDETTES;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
0070;RUE ALAUDETTES;RUE;ALAUDETTES;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
0075;RUE ALBERT;RUE;ALBERT;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Impair;0001;9999;33300
0075;RUE ALBERT;RUE;ALBERT;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Pair;0002;9998;33300
0080;BOULEVARD ALBERT 1ER;BOULEVARD;ALBERT 1ER;05;Quartier 5;Nansouty Saint-Genès;Pair;0002;0100;33800
0080;BOULEVARD ALBERT 1ER;BOULEVARD;ALBERT 1ER;05;Quartier 5;Nansouty Saint-Genès;Impair;0009;0143;33800
0080;BOULEVARD ALBERT 1ER;BOULEVARD;ALBERT 1ER;06;Quartier 6;Bordeaux sud;Pair;0102;0268;33800
0085;BOULEVARD ALBERT BRANDENBURG;BOULEVARD;ALBERT BRANDENBURG;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
0085;BOULEVARD ALBERT BRANDENBURG;BOULEVARD;ALBERT BRANDENBURG;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
0087;RUE ALBERT CAMUS;RUE;ALBERT CAMUS;08;Quartier 8;Caudéran;Impair;0001;9999;33200
0087;RUE ALBERT CAMUS;RUE;ALBERT CAMUS;08;Quartier 8;Caudéran;Pair;0002;9998;33200
0090;RUE ALBERT DE MUN;RUE;ALBERT DE MUN;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Pair;0002;9998;33000
0090;RUE ALBERT DE MUN;RUE;ALBERT DE MUN;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Impair;0001;9999;33000
0095;RUE ALBERT MARQUET;RUE;ALBERT MARQUET;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
0095;RUE ALBERT MARQUET;RUE;ALBERT MARQUET;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
0100;RUE ALBERT NODON;RUE;ALBERT NODON;05;Quartier 5;Nansouty Saint-Genès;Impair;0001;9999;33800
0100;RUE ALBERT NODON;RUE;ALBERT NODON;05;Quartier 5;Nansouty Saint-Genès;Pair;0002;9998;33800
0105;RUE ALBERT PITRES;RUE;ALBERT PITRES;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Impair;0001;9999;33000
0105;RUE ALBERT PITRES;RUE;ALBERT PITRES;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Pair;0002;9998;33000
0110;RUE ALBERT TOURNIER;RUE;ALBERT TOURNIER;08;Quartier 8;Caudéran;Pair;0002;9998;33200
0110;RUE ALBERT TOURNIER;RUE;ALBERT TOURNIER;08;Quartier 8;Caudéran;Impair;0001;9999;33200
0115;RUE ALBERT THOMAS;RUE;ALBERT THOMAS;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
0115;RUE ALBERT THOMAS;RUE;ALBERT THOMAS;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
0116;IMPASSE ALBERT TOUZIN;IMPASSE;ALBERT TOUZIN;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
0116;IMPASSE ALBERT TOUZIN;IMPASSE;ALBERT TOUZIN;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
