CODERIVOLI;LIBELLEVOIE;TYPEVOIE;LIBELLESEUL;CODEQUARTIER;LIBELLEQUARTIER;NOMQUARTIER;COTE;DEBUT;FIN;CODEPOSTAL
1080;RUE BORIE;RUE;BORIE;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Impair;0001;9999;33300
1080;RUE BORIE;RUE;BORIE;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Pair;0002;9998;33300
1085;RUE DU BOSQUET;RUE;DU BOSQUET;08;Quartier 8;Caudéran;Pair;0002;9998;33200
1085;RUE DU BOSQUET;RUE;DU BOSQUET;08;Quartier 8;Caudéran;Impair;0001;9999;33200
1090;RUE BOSSUET;RUE;BOSSUET;05;Quartier 5;Nansouty Saint-Genès;Pair;0002;9998;33800
1090;RUE BOSSUET;RUE;BOSSUET;05;Quartier 5;Nansouty Saint-Genès;Impair;0001;9999;33800
1095;RUE DES BOUCHERIES;RUE;DES BOUCHERIES;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
1095;RUE DES BOUCHERIES;RUE;DES BOUCHERIES;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
1100;RUE BOUDET;RUE;BOUDET;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Pair;0002;9998;33000
1100;RUE BOUDET;RUE;BOUDET;02;Quartier 2;Chartrons Grand-Parc Jardin Public;Impair;0001;9999;33000
1105;RUE BOUFFARD;RUE;BOUFFARD;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
1105;RUE BOUFFARD;RUE;BOUFFARD;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
1107;RUE BOUGAINVILLE;RUE;BOUGAINVILLE;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
1107;RUE BOUGAINVILLE;RUE;BOUGAINVILLE;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
1110;RUE BOUGUEREAU;RUE;BOUGUEREAU;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
1110;RUE BOUGUEREAU;RUE;BOUGUEREAU;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
1115;IMPASSE BOUILLON;IMPASSE;BOUILLON;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
1115;IMPASSE BOUILLON;IMPASSE;BOUILLON;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
1120;RUE BOULAN;RUE;BOULAN;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
1120;RUE BOULAN;RUE;BOULAN;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
1125;RUE BOULANGER;RUE;BOULANGER;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
1125;RUE BOULANGER;RUE;BOULANGER;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
1130;RUE DE BOULIAC;RUE;DE BOULIAC;07;Quartier 7;Bastide;Impair;0001;9999;33100
1130;RUE DE BOULIAC;RUE;DE BOULIAC;07;Quartier 7;Bastide;Pair;0002;9998;33100
1135;IMPASSE BOUQUIERE;IMPASSE;BOUQUIÈRE;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
1135;IMPASSE BOUQUIERE;IMPASSE;BOUQUIÈRE;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
1140;RUE BOUQUIERE;RUE;BOUQUIÈRE;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
1140;RUE BOUQUIERE;RUE;BOUQUIÈRE;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
1145;RUE BOURBON;RUE;BOURBON;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
1145;RUE BOURBON;RUE;BOURBON;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
1150;RUE DE BOURILLON;RUE;DE BOURILLON;07;Quartier 7;Bastide;Pair;0002;9998;33100
1150;RUE DE BOURILLON;RUE;DE BOURILLON;07;Quartier 7;Bastide;Impair;0001;9999;33100
1155;PLACE DE LA BOURSE;PLACE;DE LA BOURSE;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
1155;PLACE DE LA BOURSE;PLACE;DE LA BOURSE;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
1160;IMPASSE BOUSCATIER;IMPASSE;BOUSCATIER;05;Quartier 5;Nansouty Saint-Genès;Impair;0001;9999;33000
1160;IMPASSE BOUSCATIER;IMPASSE;BOUSCATIER;05;Quartier 5;Nansouty Saint-Genès;Pair;0002;9998;33000
1165;ALLEE DE BOUTAUT;ALLÉE;DE BOUTAUT;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
1170;IMPASSE BOUTHIER;IMPASSE;BOUTHIER;07;Quartier 7;Bastide;Pair;0002;9998;33100
1170;IMPASSE BOUTHIER;IMPASSE;BOUTHIER;07;Quartier 7;Bastide;Impair;0001;9999;33100
1175;RUE BOUTHIER;RUE;BOUTHIER;07;Quartier 7;Bastide;Pair;0002;9998;33100
1175;RUE BOUTHIER;RUE;BOUTHIER;07;Quartier 7;Bastide;Impair;0001;9999;33100
1180;RUE BOUTIN;RUE;BOUTIN;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
1180;RUE BOUTIN;RUE;BOUTIN;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
1185;RUE DES BOUVIERS;RUE;DES BOUVIERS;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
1185;RUE DES BOUVIERS;RUE;DES BOUVIERS;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
1190;RUE BOYER;RUE;BOYER;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Impair;0001;9999;33000
1190;RUE BOYER;RUE;BOYER;04;Quartier 4;Saint Augustin Tauzin Alphonse Dupeux;Pair;0002;9998;33000
1195;RUE DE BRACH;RUE;DE BRACH;03;Quartier 3;Centre-ville;Impair;0001;9999;33000
1195;RUE DE BRACH;RUE;DE BRACH;03;Quartier 3;Centre-ville;Pair;0002;9998;33000
1200;RUE BRACHET;RUE;BRACHET;08;Quartier 8;Caudéran;Impair;0001;9999;33200
1200;RUE BRACHET;RUE;BRACHET;08;Quartier 8;Caudéran;Pair;0002;9998;33200
1205;RUE BRADLEY;RUE;BRADLEY;01;Quartier 1;Bordeaux maritime;Impair;0001;9999;33300
1205;RUE BRADLEY;RUE;BRADLEY;01;Quartier 1;Bordeaux maritime;Pair;0002;9998;33300
1210;RUE BRAGARD;RUE;BRAGARD;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33000
1210;RUE BRAGARD;RUE;BRAGARD;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33000
1215;ALLEE BRANLY;ALLÉE;BRANLY;08;Quartier 8;Caudéran;Impair;0001;9999;33200
1215;ALLEE BRANLY;ALLÉE;BRANLY;08;Quartier 8;Caudéran;Pair;0002;9998;33200
1220;CITE BRANNA;CITÉ;BRANNA;08;Quartier 8;Caudéran;Impair;0001;9999;33200
1220;CITE BRANNA;CITÉ;BRANNA;08;Quartier 8;Caudéran;Pair;0002;9998;33200
1225;RUE BRASCASSAT;RUE;BRASCASSAT;06;Quartier 6;Bordeaux sud;Pair;0002;9998;33800
1225;RUE BRASCASSAT;RUE;BRASCASSAT;06;Quartier 6;Bordeaux sud;Impair;0001;9999;33800
1230;QUAI DE BRAZZA;QUAI;DE BRAZZA;07;Quartier 7;Bastide;Impair;0001;9999;33100
1230;QUAI DE BRAZZA;QUAI;DE BRAZZA;07;Quartier 7;Bastide;Pair;0002;9998;33100
1235;RUE BREAU;RUE;BRÉAU;08;Quartier 8;Caudéran;Pair;0002;9998;33200
1235;RUE BREAU;RUE;BRÉAU;08;Quartier 8;Caudéran;Impair;0001;9999;33200
1240;RUE BREMONTIER;RUE;BRÉMONTIER;05;Quartier 5;Nansouty Saint-Genès;Pair;0002;9998;33800
1240;RUE BREMONTIER;RUE;BRÉMONTIER;05;Quartier 5;Nansouty Saint-Genès;Impair;0001;9999;33800
1241;PASSAGE BREMONTIER;PASSAGE;BRÉMONTIER;05;Quartier 5;Nansouty Saint-Genès;Pair;0002;9998;33800
1241;PASSAGE BREMONTIER;PASSAGE;BRÉMONTIER;05;Quartier 5;Nansouty Saint-Genès;Impair;0001;9999;33800
1250;RUE DE BREZETS;RUE;DE BRÉZETS;05;Quartier 5;Nansouty Saint-Genès;Pair;0002;9998;33800
1250;RUE DE BREZETS;RUE;DE BRÉZETS;05;Quartier 5;Nansouty Saint-Genès;Impair;0001;9999;33800
1255;PASSAGE BRIAN;PASSAGE;BRIAN;05;Quartier 5;Nansouty Saint-Genès;Impair;0001;9999;33000
