GID,GENREV,LIBELLEV,DOMANIAL,CODERIV,MOTD,IDENT,NOMNG,NUMEROFR,NUMEROEU,RHFV_COMMU,CDATE,MDATE
46,CHEM,DES COUTINS,6,0176W,COUT,0030050,Chemin des Coutins ,,,27,19950125160100,20070119103400
47,RUE,DE LA CROIX NOIRE,4,0177X,CROI,0030051,Rue de la Croix Noire ,,,27,19950125160100,20070119103400
49,CHEM,DE DURANDEAU,6,0186G,DURA,0030053,Chemin de Durandeau ,,,27,19950125160100,20070119103400
50,RUE,EDMOND FAULAT,4,0190L,FAUL,0030054,Rue Edmond Faulat ,,,27,19950125160100,20070423170600
51,RUE,EDOUARD HERRIOT,4,0195S,HERR,0030055,Rue Edouard Herriot ,,,27,19950125160100,20070119103400
52,CHEM,DES PLACES,6,0442K,PLAC,0030056,Chemin des Places ,,,27,19950125160100,20070119103400
54,RUE,EMILE LARRIEU,4,0203A,LARR,0030058,Rue Emile Larrieu ,,,27,19950125160100,20070423170600
55,RUE,EMILE ZOLA,4,0205C,ZOLA,0030059,Rue Emile Zola ,,,27,19950125160100,20070119103400
56,RUE,D'ENGHIEN,4,0208F,ENGH,0030061,Rue d'Enghien ,,,27,19950125160100,20070119103400
58,RUE,DE LA GARE,4,0220U,GARE,0030063,Rue de la Gare ,,,27,19950125160100,20070119103400
59,CHEM,DE GAROUILLA,6,0226A,GARO,0030064,Chemin de Garouilla ,,,27,19950125160100,20070119103400
60,RUE,DES GEMEAUX,4,0227B,GEME,0030066,Rue des Gemeaux ,,,27,19950125160100,20070423170600
62,RUE,GEORGES CLEMENCEAU,4,0230E,CLEM,0030068,Rue Georges Clémenceau ,,,27,19950125160100,20080626162400
63,RUE,DE GOBOLES,4,0236L,GOBO,0030069,Rue de Goboles,,,27,19950125160100,20140227085724
64,RUE,DE LA GORP,4,0240R,GORP,0030070,Rue de la Gorp ,,,27,19950125160100,20070119103400
65,RUE,DE GRANDJEAN,4,,GRAN,0030071,Rue de Grandjean ,,,27,19950125160100,20070423170600
67,CHEM,DE LA GRAVE,6,0257J,GRAV,0030073,Chemin de la Grave ,,,27,19950125160100,20070119103400
68,CHEM,DE LA GRAVE OUEST,5,0258K,GRAV,0030074,Chemin de la Grave Ouest ,,,27,19950125160100,20080311085700
70,ALL,DE LA HONTASSE,4,0270Y,HONT,0030076,Allée de la Hontasse ,,,27,19950125160100,20070119103400
71,CHEM,DE LA HOURCADE,4,0275D,HOUR,0030077,Chemin de la Hourcade ,,,27,19950125160100,20070119103400
72,AVE,DES INDUSTRIES,4,0277F,INDU,0030078,Avenue des Industries ,,,27,19950125160100,20070119103400
74,RUE,JACQUES PREVERT,4,0281K,PREV,0030080,Rue Jacques Prévert ,,,27,19950125160100,20070423170600
75,CHEM,DE JAMBES,4,0279H,JAMB,0030081,Chemin de Jambes ,,,27,19950125160100,20070119103400
76,CHEM,DES JAUGUES,4,0280J,JAUG,0030082,Chemin des Jaugues ,,,27,19950125160100,20070423170600
78,RUE,JEAN PRAT,4,0289U,PRAT,0030084,Rue Jean Prat ,,,27,19950125160100,20120213141652
79,RUE,JEANNE DE LESTONNAT,4,0293Y,LEST,0030085,Rue Jeanne de Lestonnat ,,,27,19950125160100,20070423170700
81,AVE,DE JOURDANNE,4,0300F,JOUR,0030087,Avenue de Jourdanne ,,,27,19950125160100,20130812100728
82,AVE,JULES FERRY,4,0305L,FERR,0030088,Avenue Jules Ferry ,,,27,19950125160100,20070119103400
83,CHEM,DE LACANAU,5,0308P,LACA,0030091,Chemin de Lacanau ,,,27,19950125160100,20070119103400
85,RUE,LAMARTINE,4,0315X,LAMA,0030093,Rue Lamartine ,,,27,19950125160100,20070423170700
398,RUE,DES ROITELETS,4,0322L,ROIT,0130123,Rue des Roitelets ,,,28,19950125160300,20070118193500
399,ALL,DES VIGNERONS,4,0319H,VIGN,0130124,Allée des Vignerons ,,,28,19950125160300,20070118193500
400,RUE,BLAISE PASCAL,4,0034Y,PASC,0130125,Rue Blaise Pascal ,,,28,19950125160300,20070118193500
402,AVE,DES PROVINCES,4,0270E,PROV,0130130,Avenue des Provinces ,,,28,19950125160300,20070423155000
403,RUE,DES LAURIERS,4,0158H,LAUR,0130131,Rue des Lauriers ,,,28,19950125160300,20070118193500
404,RUE,DU SERPOLET,4,0288Z,SERP,0130132,Rue du Serpolet ,,,28,19950125160300,20070118193500
406,AVE,GERARD PHILIPE,4,5007*,PHIL,0130134,Avenue Gerard Philipe ,,,28,19950125160300,20070118193500
407,RUE,DU SAUTERNAIS,4,0280R,SAUT,0130135,Rue du Sauternais ,,,28,19950125160300,20070118193500
408,RUE,DE MEYNOT,5,0335A,MEYN,0130138,Rue de Meynot ,,,28,19950125160300,20070118193500
410,RUE,D'ESPAGNE,4,0093M,ESPA,0130140,Rue d'Espagne ,,,28,19950125160300,20070605100300
411,RUE,DE GRANDE BRETAGNE,4,0125X,BRET,0130141,Rue de Grande Bretagne ,,,28,19950125160300,20070423155000
412,RUE,D'ITALIE,4,0138L,ITAL,0130142,Rue d'Italie ,,,28,19950125160300,20070605100300
414,RUE,DE BELGIQUE,4,0031V,BELG,0130144,Rue de Belgique ,,,28,19950125160300,20070118193500
415,RUE,D'ALLEMAGNE,4,0011Y,ALLE,0130145,Rue d'Allemagne ,,,28,19950125160300,20070605100300
417,ALL,DES VOSGES,5,0321K,VOSG,0130148,Allée des Vosges ,,,28,19950125160300,20070423155000
418,ALL,DU POITOU,5,0267B,POIT,0130149,Allée du Poitou ,,,28,19950125160300,20070118193500
419,RUE,D'ALSACE,4,0012Z,ALSA,0130150,Rue d'Alsace ,,,28,19950125160300,20070605100300
420,RUE,DE LORRAINE,4,0185M,LORR,0130151,Rue de Lorraine ,,,28,19950125160300,20070423155000
421,RUE,DE NORMANDIE,4,0246D,NORM,0130152,Rue de Normandie ,,,28,19950125160300,20070423155000
423,RUE,DE LA CASCADE,4,0048N,CASC,0130155,Rue de la Cascade ,,,28,19950125160300,20070118193500
424,RUE,DES VENDANGEURS,4,5025*,VEND,0130156,Rue des Vendangeurs ,,,28,19950125160300,20070423155000
426,ALL,DES SPORTS,5,0289A,SPOR,0130158,Allée des Sports ,,,28,19950125160300,20070118193500
427,ALL,CHRISTOPHE COLOMB,5,0062D,COLO,0130159,Allée Christophe Colomb ,,,28,19950125160300,20070118193500
428,AVE,DU MILLAC,4,0338D,MILL,0130160,Avenue du Millac ,,,28,19950125160300,20070118193500
430,ROC,RIVE DROITE,1,5028*,ROCA,0130163,Rocade Rive Droite ,,,28,19950125160300,20120604155204
431,RUE,DES NOYERS,2,0249G,NOYE,0130165,Rue des Noyers ,,,28,19950125160300,20070118193500
432,RUE,GUSTAVE EIFFEL,0,0326R,EIFF,0130166,Rue Gustave Eiffel ,,,28,19950125160300,20070118193500
112,CHEM,DE L'OEIL DU PAS,6,0406W,PAS,0030130,Chemin de l'Oeil du Pas ,,,27,19950125160100,20070119103400
113,IMP,PAGE,5,,PAGE,0030131,Impasse Page ,,,27,19950125160100,20070119103400
114,CHEM,DE LA PALUE DE BEAUJET,6,0408Y,BEAU,0030132,Chemin de la Palue de Beaujet ,,,27,19950125160100,20070119103400
115,CHEM,DE LA PALUE DE LA BLANCHE,6,0409Z,BLAN,0030133,Chemin de la Palue de la Blanche ,,,27,19950125160100,20070119103400
116,CHEM,DE LA PALUE DE SABAREGES,6,0411B,SABA,0030134,Chemin de la Palue de Sabarèges ,,,27,19950125160100,20070423170700
117,RUE,DU PARC DES SPORTS,4,0410A,SPOR,0030135,Rue du Parc des Sports ,,,27,19950125160100,20070423170700
118,CHEM,DU PAS DU LOUP,4,0414E,LOUP,0030136,Chemin du Pas du Loup ,,,27,19950125160100,20070119103400
119,RUE,PASTEUR,4,0420L,PAST,0030137,Rue Pasteur ,,,27,19950125160100,20070423170700
120,RUE,PAUL FORT,4,0422N,FORT,0030138,Rue Paul Fort ,,,27,19950125160100,20080320141400
121,RUE,PAULIN DE NOLE,4,0423P,NOLE,0030139,Rue Paulin de Nole ,,,27,19950125160100,20080320141900
122,RUE,DE PELET,4,0429W,PELE,0030140,Rue de Pelet ,,,27,19950125160100,20070605100300
123,RES,DES PERSONNES AGEES,4,5017*,PERS,0030141,Résidence des Personnes Agees ,,,27,19950125160100,20070119103400
124,ALL,DES PEUPLIERS,4,0426T,PEUP,0030142,Allée des Peupliers ,,,27,19950125160100,20100211141356
125,CHEM,DE PEYCHAUD,6,0432Z,PEYC,0030143,Chemin de Peychaud ,,,27,19950125160100,20070119103400
126,CHEM,DE PICON,6,0427U,PICO,0030144,Chemin de Picon ,,,27,19950125160100,20070119103400
127,CHEM,DE PICOUTOUS,4,0428V,PICO,0030145,Chemin de Picoutous ,,,27,19950125160100,20120213141652
128,AVE,PIERRE BARRE,4,0437E,BARR,0030146,Avenue Pierre Barre ,,,27,19950125160100,20070119103400
