GID,GENREV,LIBELLEV,DOMANIAL,CODERIV,MOTD,IDENT,NOMNG,NUMEROFR,NUMEROEU,RHFV_COMMU,CDATE,MDATE
1210,RUE,DE MARPUCH,4,0641W,MARP,0560297,Rue de Marpuch ,,,6,19950125164600,20070423154500
1211,RUE,DES BOULEAUX,4,0106P,BOUL,0560298,Rue des Bouleaux ,,,6,19950125164600,20070423154500
1212,RUE,DES FAUVETTES,4,0246S,FAUV,0560299,Rue des Fauvettes ,,,6,19950125164600,20070118194000
1213,RUE,DU LOT DU CHATEAU,4,A120Z,CHAT,0560301,Rue du Lot du Château ,,,6,19950125164600,20070118194000
1214,RUE,DES MIMOSAS,4,0662U,MIMO,0560302,Rue des Mimosas ,,,6,19950125164600,20070423154500
1215,VOIE,R.P.A. RESIDENCE CORBEIL,4,5004*,CORB,0560304,Voie R.p.a. Résidence Corbeil ,,,6,19950125164600,20070118194000
1216,RUE,GAGARINE,5,5031*,GAGA,2000208,Rue Gagarine ,,,25,19960924082200,20070118195400
1217,RUE,DES PINSONS,4,0781Y,PINS,0560308,Rue des Pinsons ,,,6,19950125164600,20070118194000
1218,RUE,DE MAGNOL,5,0604F,MAGN,0560309,Rue de Magnol ,,,6,19950125164600,20070423154500
1219,RUE,DU CLOS CARDINAL,6,0173M,CARD,0560310,Rue du Clos Cardinal ,,,6,19950125164600,20070118194000
1220,RUE,DE VIREBOUC,4,0974H,VIRE,0560311,Rue de Virebouc ,,,6,19950125164600,20100311154156
1221,RUE,JEAN FRANCOIS LA PEROUSE,4,,PERO,0560312,Rue Jean François la Perouse ,,,6,19950125164600,20070118194000
1222,ALL,DES BRUYERES,4,0107R,BRUY,0560313,Allée des Bruyères ,,,6,19950125164600,20070118194000
1223,RUE,VICTURNIEN VERGNIAUD,5,5043*,VERG,0560315,Rue Victurnien Vergniaud ,,,6,19950125164600,20070118194000
1796,RUE,DU MOULIN,4,0607K,MOUL,0960097,Rue du Moulin ,,,3,19950125170800,20070118194500
1797,RUE,DE LA MOULINE,4,0609M,MOUL,0960098,Rue de la Mouline ,,,3,19950125170800,20070118194500
1798,PCE,NEIL ARMSTRONG,4,0614T,ARMS,0960099,Place Neil Armstrong ,,,3,19950125170800,20070118194500
1800,PCE,PAUL CEZANNE,4,0624D,CEZA,0960101,Place Paul Cézanne ,,,3,19950125170800,20070118194500
1801,SQ,PAUL DOUMER,4,0628H,DOUM,0960102,Square Paul Doumer ,,,3,19950125170800,20070118194500
1803,PCE,PAUL GAUGUIN,4,0635R,GAUG,0960104,Place Paul Gauguin ,,,3,19950125170800,20070118194500
1804,RUE,PAUL MAUREL,4,0639V,MAUR,0960105,Rue Paul Maurel ,,,3,19950125170800,20070118194500
1805,VOIE,R.P.A. RENE CASSAGNE,4,5004*,CASS,0960106,Voie R.p.a. René Cassagne ,,,3,19950125170800,20121008101404
1807,RUE,PIERRE CORNEILLE,4,0648E,CORN,0960108,Rue Pierre Corneille ,,,3,19950125170800,20070118194500
1808,RUE,PIERRE DE COUBERTIN,4,0652J,COUB,0960109,Rue Pierre de Coubertin ,,,3,19950125170800,20070118194500
1810,CHEM,DU PIN,6,5017*,PIN,0960111,Chemin du Pin ,,,3,19950125170800,20070118194500
1811,RUE,DES PLACES,4,5020*,PLAC,0960112,Rue des Places ,,,3,19950125170800,20070118194500
1812,RUE,DU PLATEAU,4,0660T,PLAT,0960113,Rue du Plateau ,,,3,19950125170800,20070423153800
1814,RUE,DU PRESIDENT HERRIOT,4,0667A,HERR,0960115,Rue du Président Herriot ,,,3,19950125170800,20070118194500
1815,RUE,DU PRESIDENT PAUL DOUMER,4,0670D,DOUM,0960116,Rue du Président Paul Doumer ,,,3,19950125170800,20070118194500
1816,RUE,RACINE,4,0674H,RACI,0960117,Rue Racine ,,,3,19950125170800,20070328143900
1818,RUE,RAOUL DOUAT,4,0682S,DOUA,0960119,Rue Raoul Douat ,,,3,19950125170800,20070118194500
1819,PCE,RAYMOND POINCARE,4,0686W,POIN,0960120,Place Raymond Poincare ,,,3,19950125170800,20070118194500
1820,RUE,DU RHIN ET DANUBE,4,0690A,DANU,0960121,Rue du Rhin Et Danube ,,,3,19950125170800,20070118194500
1822,ALL,DU ROND POINT,4,0698J,POIN,0960123,Allée du Rond Point ,,,3,19950125170800,20070118194500
1823,ALL,DU RUISSEAU,4,0702N,RUIS,0960124,Allée du Ruisseau ,,,3,19950125170800,20070118194500
1824,ALL,SAINT JUST,4,0706T,JUST,0960125,Allée Saint Just ,,,3,19950125170800,20070423153800
1826,CHEM,DU SOURD,4,0716D,SOUR,0960127,Chemin du Sourd ,,,3,19950125170800,20070118194500
1827,RUE,THERESE,4,0721J,THER,0960128,Rue Therese ,,,3,19950125170800,20070423153900
1828,AVE,TRIVIAUX,4,0723L,TRIV,0960129,Avenue Triviaux ,,,3,19950125170800,20070118194500
1830,RUE,DES VERGERS,4,0726P,VERG,0960131,Rue des Vergers ,,,3,19950125170800,20070423153900
1831,AVE,VICTOR HUGO,4,0731V,HUGO,0960132,Avenue Victor Hugo ,,,3,19950125170800,20070118194500
1832,RUE,DE LA VIGNE,4,0736A,VIGN,0960133,Rue de la Vigne ,,,3,19950125170800,20070423153900
1834,RUE,YVES DU MANOIR,4,0747M,MANO,0960135,Rue Yves du Manoir ,,,3,19950125170800,20070423153900
1835,RUE,DU 11 NOVEMBRE 1918,4,0616V,NOVE,0960136,Rue du 11 Novembre 1918 ,,,3,19950125170800,20120913150952
1837,RUE,DU 8 MAI 1945,4,0445J,MAI,0960138,Rue du 8 Mai 1945 ,,,3,19950125170800,20070423153900
1838,CHEM,LE BRUGNON,4,A020S,BRUG,0960139,Chemin le Brugnon ,,,3,19950125170800,20070118194500
1839,ALL,DU COLLEGE,4,0361T,COLL,0960141,Allée du College ,,,3,19950125170800,20070118194500
1841,RUE,JEAN RAYMOND GUYON,4,0490H,GUYO,0960144,Rue Jean Raymond Guyon ,,,3,19950125170800,20070118194500
1842,VOIE,DESSERTE DU CENTRE ADMINISTRAT,4,,FAVO,0960145,Voie Desserte du Centre Administrat,,,3,19950125170800,20090417105800
1843,RES,MESQUITA,5,,MESQ,0960146,Résidence Mesquita ,,,3,19950125170800,20070118194500
1844,RUE,GERARD PHILIPE,4,0427P,PHIL,0960151,Rue Gerard Philipe ,,,3,19950125170800,20070118194500
1845,ALL,RONSARD,4,0699K,RONS,0960152,Allée Ronsard ,,,3,19950125170800,20070118194500
1846,RUE,JACQUES BREL,4,0451R,BREL,0960153,Rue Jacques Brel ,,,3,19950125170800,20070423153900
1847,VOIE,CALTEX,5,5002*,CALT,0960154,Voie Caltex ,,,3,19950125170800,20070118194500
1848,RES,LUCY BEAUMONT,5,,BEAU,0960155,Résidence Lucy Beaumont ,,,3,19950125170800,20070118194500
1849,CHEM,LACOSTE,4,,LACO,0960157,Chemin Lacoste ,,,3,19950125170800,20070118194500
1850,RES,TRIVIAUX 3,4,,TRIV,0960158,Résidence Triviaux 3 ,,,3,19950125170800,20070118194500
1851,CHEM,RES LES PINS,5,5018*,PINS,0960160,Chemin Res les Pins ,,,3,19950125170800,20070118194500
1852,CHEM,LOT LAMARTINE,5,5010*,LAMA,0960161,Chemin Lot Lamartine ,,,3,19950125170800,20070118194500
1853,CHEM,LOT HAMEAU MURIERS,5,B033T,MURI,0960162,Chemin Lot Hameau Muriers ,,,3,19950125170800,20070118194500
1854,BRET,A 10 (1),1,5001*,10,0960163,Bretelle A 10 (1) ,,,3,19950125170800,20070118194500
1855,RES,TRIVIAUX 2,5,,TRIV,0960164,Résidence Triviaux 2 ,,,3,19950125170800,20070118194500
1856,RUE,FLEURETTE,4,0399J,FLEU,0960165,Rue Fleurette ,,,3,19950125170800,20070118194500
1857,CHEM,DU FAYSAN,5,0394D,FAYS,0960166,Chemin du Faysan ,,,3,19950125170800,20070118194500
1858,ALL,MONTEAU,5,0602E,MONT,0960167,Allée Monteau ,,,3,19950125170800,20130812100732
1859,RUE,DES FLANDRES,5,0396F,FLAN,0960168,Rue des Flandres ,,,3,19950125170800,20070118194500
1860,ALL,PETRUS RUBENS,5,0646C,RUBE,0960169,Allée Petrus Rubens ,,,3,19950125170800,20070423153900
1861,RES,LA BERGERIE 1,5,A017N,BERG,0960170,Résidence la Bergerie 1 ,,,3,19950125170800,20070118194500
1862,RES,LA BERGERIE 2,5,,BERG,0960171,Résidence la Bergerie 2 ,,,3,19950125170800,20070118194500
1863,RES,LA BERGERIE 3,5,,BERG,0960172,Résidence la Bergerie 3 ,,,3,19950125170800,20070118194500
1864,RUE,DES FRERES LUMIERE,4,0405R,LUMI,0960173,Rue des Frères Lumière ,,,3,19950125170800,20070921095900
1865,LOT,LUCIE,5,A052B,LUCI,0960174,Lotissement Lucie ,,,3,19950125170800,20070423153900
1866,BRET,A 10 (2),1,,10,0960175,Bretelle A 10 (2) ,,,3,19950125170800,20070118194500
1867,CHEM,DE LA MOULINE SUD,6,5011*,MOUL,0960176,Chemin de la Mouline Sud ,,,3,19950125170800,20070118194500
1868,AVE,ANTOINE DE SAINT-EXUPERY,4,0393C,EXUP,0960177,Avenue Antoine de Saint-Exupéry,,,3,19950125170800,20090828095044
1869,RUE,DU MARECHAL LANNES,4,0576B,LANN,0960178,Rue du Maréchal Lannes ,,,3,19950125170800,20070118194500
1870,ALL,DE WAGRAM,4,0744J,WAGR,0960179,Allée de Wagram ,,,3,19950125170800,20070328113600
1871,VOIE,MAIRIE,5,5006*,MAIR,0960180,Voie Mairie ,,,3,19950125170800,20070118194500
1872,BRET,A 10 (3),1,,10,0960182,Bretelle A 10 (3) ,,,3,19950125170800,20070118194500
1873,ALL,DES GLEYSOTTES,4,0428R,GLEY,0960184,Allée des Gleysottes ,,,3,19950125170800,20070118194500
1874,RUE,EMILE COMBES,6,0387W,COMB,0960185,Rue Emile Combes ,,,3,19950125170800,20070118194500
1875,RUE,DE MARTAINVILLE,4,0581G,MART,0960188,Rue de Martainville ,,,3,19950125170800,20070118194500
1876,RUE,ROLAND GARROS,5,5015*,GARR,0960190,Rue Roland Garros ,,,3,19950125170800,20070118194500
1877,RUE,LOUIS BLERIOT,5,5021*,BLER,0960191,Rue Louis Blériot ,,,3,19950125170800,20070328103800
1878,RUE,CLEMENT ADER,5,5022*,ADER,0960192,Rue Clément Ader ,,,3,19950125170800,20070118194500
1879,RUE,SAN MARTIN DE VALDEIGLESIAS,4,0725N,VALD,0960193,Rue San Martin de Valdeiglesias ,,,3,19950125170800,20070423153900
1880,RUE,BIR HAKEIM,4,0324C,HAKE,0960194,Rue Bir Hakeim ,,,3,19950125170800,20070423153900
1881,RUE,JULES FERRY,4,0395E,FERR,0960195,Rue Jules Ferry ,,,3,19950125170800,20070423153900
1882,RUE,WALDECK-ROUSSEAU,4,0700L,WALD,0960196,Rue Waldeck-Rousseau ,,,3,19950125170800,20070118194500
1883,RUE,GEORGES CLEMENCEAU,4,0360S,CLEM,0960197,Rue Georges Clémenceau ,,,3,19950125170800,20070118194500
1884,RUE,DES ROCHES,4,0692C,ROCH,0960199,Rue des Roches ,,,3,19950125170800,20070423153900
1885,RUE,BUFFON,4,0341W,BUFF,0960200,Rue Buffon ,,,3,19950125170800,20080722083408
1887,RUE,ALBERT CAMUS,4,0007Z,CAMU,1670002,Rue Albert Camus ,,,9,19950125173600,20070423154600
1888,ALL,D'ALEMBERT,4,0008A,ALEM,1670003,Allée d'Alembert ,,,9,19950125173600,20070118194600
1889,RUE,ALFRED GIRET,4,0015H,GIRE,1670004,Rue Alfred Giret ,,,9,19950125173600,20070423154600
1891,RUE,ANATOLE FRANCE,4,0020N,FRAN,1670006,Rue Anatole France ,,,9,19950125173600,20070118194600
1892,RUE,ANDRE LEDUC,4,0021P,LEDU,1670007,Rue André Leduc ,,,9,19950125173600,20070118194600
1893,RUE,ANDRE MALRAUX,4,0022R,MALR,1670008,Rue André Malraux ,,,9,19950125173600,20070423154600
1895,RUE,AUGUSTE RENOIR,5,0026V,RENO,1670010,Rue Auguste Renoir ,,,9,19950125173600,20070118194600
1896,CHEM,DE BEAUFEU,4,0027W,BEAU,1670011,Chemin de Beaufeu ,,,9,19950125173600,20070118194600
1897,CHEM,DE BELLE CROIX,4,0028X,BELL,1670012,Chemin de Belle Croix ,,,9,19950125173600,20070118194600
1899,RUE,BERLIOZ,4,0035E,BERL,1670014,Rue Berlioz ,,,9,19950125173600,20070118194600
1900,RUE,FERDINAND BISTUER,4,0040K,BIST,1670015,Rue Ferdinand Bistuer ,,,9,19950125173600,20070118194600
1901,RUE,BIZET,4,0045R,BIZE,1670016,Rue Bizet ,,,9,19950125173600,20070118194600
1903,AVE,BLANQUI,4,0050W,BLAN,1670018,Avenue Blanqui ,,,9,19950125173600,20070423154600
1904,CHEM,DES BORIES,4,0054A,BORI,1670019,Chemin des Bories ,,,9,19950125173600,20070118194600
1905,CHEM,DE BOURBON,4,0056C,BOUR,1670020,Chemin de Bourbon ,,,9,19950125173600,20070118194600
1907,RUE,CAMILLE COROT,4,0068R,CORO,1670022,Rue Camille Corot ,,,9,19950125173600,20070423154700
1908,AVE,CAMILLE PELLETAN,4,0070T,PELL,1670023,Avenue Camille Pelletan ,,,9,19950125173600,20070423154700
1909,RUE,CAMILLE SAINT-SAENS,4,0072V,SAEN,1670024,Rue Camille Saint-Saens ,,,9,19950125173600,20070118194600
1911,CHEM,DE CASTES,4,0094U,CAST,1670026,Chemin de Castes ,,,9,19950125173600,20070118194600
1912,CHEM,DE CAUMONT,4,0096W,CAUM,1670027,Chemin de Caumont ,,,9,19950125173600,20070118194600
1914,RUE,DES CEDRES,4,0102C,CEDR,1670029,Rue des Cèdres ,,,9,19950125173600,20070423154700
1915,RUE,DE CHEZE,4,0111M,CHEZ,1670031,Rue de Cheze ,,,9,19950125173600,20070118194600
1916,COTE,DU CIMETIERE,4,0115S,CIME,1670032,Côte du Cimetière ,,,9,19950125173600,20070118194600
1917,RUE,CLAUDE DEBUSSY,4,0119W,DEBU,1670033,Rue Claude Debussy ,,,9,19950125173600,20070118194600
1919,COTE,DU COCUT,4,0651Z,COCU,1670035,Côte du Cocut ,,,9,19950125173600,20070118194600
1920,RUE,COLETTE,5,0656E,COLE,1670036,Rue Colette ,,,9,19950125173600,20070118194600
1921,RUE,COPERNIC,4,0661K,COPE,1670037,Rue Copernic ,,,9,19950125173600,20070423154700
1922,RUE,CORNEILLE,5,0666R,CORN,1670038,Rue Corneille ,,,9,19950125173600,20070118194600
1924,RUE,ROBERT ESCARPIT,4,1478Y,ESCA,1670040,Rue Robert Escarpit ,,,9,19950125173600,20130812100732
1925,IMP,COULET,4,0676B,COUL,1670041,Impasse Coulet ,,,9,19950125173600,20070118194600
1926,CHEM,DALBOIS,4,5006*,DALB,1670042,Chemin Dalbois ,,,9,19950125173600,20070118194600
1928,RUE,DIDEROT,5,0696Y,DIDE,1670045,Rue Diderot ,,,9,19950125173600,20070118194600
1929,RUE,DOMINIQUE INGRES,4,0706J,INGR,1670047,Rue Dominique Ingres ,,,9,19950125173600,20070423154700
1930,RUE,EDGAR DEGAS,5,0711P,DEGA,1670048,Rue Edgar Degas ,,,9,19950125173600,20070118194600
1932,RUE,EDOUARD VAILLANT,4,0722B,VAIL,1670050,Rue Edouard Vaillant ,,,9,19950125173600,20070118194600
1933,RUE,EMILE COMBES,4,0732M,COMB,1670051,Rue Emile Combes ,,,9,19950125173600,20070423154700
1934,COTE,DE L'EMPEREUR,4,0737T,EMPE,1670052,Côte de l'Empereur ,,,9,19950125173600,20070423154700
1936,RUE,DE L'ESPERANCE,4,0747D,ESPE,1670054,Rue de l'Esperance ,,,9,19950125173600,20070118194600
1937,RUE,EUGENE DELACROIX,4,0752J,DELA,1670055,Rue Eugène Delacroix ,,,9,19950125173600,20070118194600
1938,PCE,DES FAUVETTES,4,0757P,FAUV,1670056,Place des Fauvettes ,,,9,19950125173600,20070118194600
1940,RUE,FRANCIS POULENC,5,0772F,POUL,1670058,Rue Francis Poulenc ,,,9,19950125173600,20070118194600
1941,RUE,FRANCOIS ARAGO,4,0777L,ARAG,1670059,Rue François Arago ,,,9,19950125173600,20070423154700
1943,RUE,FRANCOIS RABELAIS,5,0788Y,RABE,1670061,Rue François Rabelais ,,,9,19950125173600,20070118194600
1944,RUE,FRANCOIS VILLON,5,0793D,VILL,1670062,Rue François Villon ,,,9,19950125173600,20070423154700
1945,RUE,DE LA FRATERNITE,4,0801M,FRAT,1670063,Rue de la Fraternité ,,,9,19950125173600,20070118194600
1947,ALL,GALILEE,4,0811Y,GALI,1670065,Allée Galilée ,,,9,19950125173600,20070423154700
1948,CRS,GAMBETTA,4,0816D,GAMB,1670066,Cours Gambetta ,,,9,19950125173600,20070327144600
1949,CHEM,DE LA GARDELLE,4,0821J,GARD,1670067,Chemin de la Gardelle ,,,9,19950125173600,20070118194600
1951,AVE,GASTON CABANNES,4,0831V,CABA,1670069,Avenue Gaston Cabannes ,,,9,19950125173600,20070423154700
1952,RUE,GEORGES DUHAMEL,5,0841F,DUHA,1670070,Rue Georges Duhamel ,,,9,19950125173600,20070118194600
1953,RUE,GEORGES LITALIEN,4,0846L,LITA,1670071,Rue Georges Litalien ,,,9,19950125173600,20070118194600
1954,RUE,GILBERT CESBRON,5,0851S,CESB,1670072,Rue Gilbert Cesbron ,,,9,19950125173600,20070118194600
1955,RUE,GOUNOD,4,0856X,GOUN,1670073,Rue Gounod ,,,9,19950125173600,20070118194600
1956,RUE,DE LA GRAVETTE,4,0861C,GRAV,1670074,Rue de la Gravette ,,,9,19950125173600,20070118194600
1957,RUE,GUILLAUME APOLLINAIRE,4,0866H,APOL,1670075,Rue Guillaume Apollinaire ,,,9,19950125173600,20070118194600
1958,CITE,GUILLOT,4,A233P,GUIL,1670076,Cité Guillot ,,,9,19950125173600,20070118194600
1959,IMP,GUILLOT,4,0871N,GUIL,1670077,Impasse Guillot ,,,9,19950125173600,20070118194600
1960,RUE,GUSTAVE COURBET,4,0876U,COUR,1670078,Rue Gustave Courbet ,,,9,19950125173600,20070423154700
1961,COTE,D'HENIN,4,A239W,HENI,1670079,Côte d'Henin ,,,9,19950125173600,20070118194600
1962,RUE,HENRI BARBUSSE,4,0881Z,BARB,1670080,Rue Henri Barbusse ,,,9,19950125173600,20070423154700
1963,RUE,HENRI DE TOULOUSE-LAUTREC,4,1422M,LAUT,1670081,Rue Henri de Toulouse-Lautrec ,,,9,19950125173600,20100806090320
1964,RUE,HENRI MATISSE,5,0886E,MATI,1670082,Rue Henri Matisse ,,,9,19950125173600,20070118194600
1965,PCE,HILAIRE SAURA,4,0891K,SAUR,1670083,Place Hilaire Saura ,,,9,19950125173600,20070118194600
1966,RUE,JACQUES DUCLOS,4,0901W,DUCL,1670084,Rue Jacques Duclos ,,,9,19950125173600,20070423154700
1967,RUE,JEAN BOUIN,4,0906B,BOUI,1670085,Rue Jean Bouin ,,,9,19950125173600,20070423154700
1968,RUE,JEAN COCTEAU,4,0911G,COCT,1670086,Rue Jean Cocteau ,,,9,19950125173600,20070118194600
1969,RUE,JEAN DUPAS,4,0917N,DUPA,1670087,Rue Jean Dupas ,,,9,19950125173600,20070118194600
1970,RUE,JEAN GABIN,4,0922U,GABI,1670088,Rue Jean Gabin ,,,9,19950125173600,20070118194600
1971,RUE,JEAN GARATAIN,4,0927Z,GARA,1670089,Rue Jean Garatain ,,,9,19950125173600,20070423154700
1972,RUE,JEAN GIONO,4,0932E,GION,1670090,Rue Jean Giono ,,,9,19950125173600,20070118194600
1973,RUE,JEAN GIRAUDOUX,5,0937K,GIRA,1670091,Rue Jean Giraudoux ,,,9,19950125173600,20070423154700
1974,RUE,JEAN GRAUX,4,0942R,GRAU,1670092,Rue Jean Graux ,,,9,19950125173600,20070423154700
2591,PCE,FREDERIC MISTRAL,5,5005*,MIST,1190095,Place Frédéric Mistral ,,,19,19950125180600,20070118195000
2592,RUE,DES FRERES LUMIERE,4,0500U,LUMI,1190096,Rue des Frères Lumière ,,,19,19950125180600,20070118195000
2594,RUE,GABRIEL BES,4,0505Z,BES,1190098,Rue Gabriel Bes ,,,19,19950125180600,20070118195000
2595,RUE,GABRIEL FAURE,4,0510E,FAUR,1190099,Rue Gabriel Faure ,,,19,19950125180600,20070118195000
2596,CRS,GAMBETTA,4,0520R,GAMB,1190101,Cours Gambetta ,,,19,19950125180600,20070327144600
2598,RUE,GAY-LUSSAC,4,1146W,LUSS,1190103,Rue Gay-Lussac ,,,19,19950125180600,20070118195000
2599,AVE,GEORGES CLEMENCEAU,4,1151B,CLEM,1190104,Avenue Georges Clémenceau ,,,19,19950125180600,20070423165500
2601,CHEM,DES GRAVIERES,4,1161M,GRAV,1190106,Chemin des Gravières ,,,19,19950125180600,20070118195000
2602,RUE,GUSTAVE COURBET,5,1166T,COUR,1190107,Rue Gustave Courbet ,,,19,19950125180600,20070118195000
2603,RUE,HARMENS REMBRANDT,4,1171Y,REMB,1190108,Rue Harmens Rembrandt ,,,19,19950125180600,20070423165500
2604,IMP,HENRI BARBUSSE,4,1176D,BARB,1190109,Impasse Henri Barbusse ,,,19,19950125180600,20070423165500
2605,RUE,HENRI BARBUSSE,4,1177E,BARB,1190110,Rue Henri Barbusse ,,,19,19950125180600,20070423165500
2606,RUE,HENRI DE TOULOUSE-LAUTREC,4,1187R,LAUT,1190111,Rue Henri de Toulouse-Lautrec ,,,19,19950125180600,20070118195000
2607,RUE,HENRI DESCOT,4,1182K,DESC,1190112,Rue Henri Descot ,,,19,19950125180600,20070118195000
2608,RUE,HENRI MATISSE,5,1192W,MATI,1190113,Rue Henri Matisse ,,,19,19950125180600,20070118195000
2609,RUE,HONORE DE BALZAC,4,1196A,BALZ,1190114,Rue Honoré de Balzac ,,,19,19950125180600,20070118195000
2610,CITE,HUGON,4,A017N,HUGO,1190115,Cité Hugon ,,,19,19950125180600,20070423165500
2611,ALL,D'IENA,4,1206L,IENA,1190116,Allée d'Iena ,,,19,19950125180600,20070118195000
2612,RUE,JEAN CARREYRE,4,1211S,CARR,1190117,Rue Jean Carreyre ,,,19,19950125180600,20070423165500
2613,RUE,JEAN COCTEAU,4,1216X,COCT,1190118,Rue Jean Cocteau ,,,19,19950125180600,20070118195000
2614,RUE,JEAN GIONO,4,1221C,GION,1190119,Rue Jean Giono ,,,19,19950125180600,20070423165500
2615,AVE,JEAN JAURES,4,1226H,JAUR,1190120,Avenue Jean Jaurès ,,,19,19950125180600,20070423165500
2616,RUE,JEAN MERMOZ,4,1232P,MERM,1190121,Rue Jean Mermoz ,,,19,19950125180600,20070118195000
2617,RUE,JEAN RAYMOND GUYON,4,1237V,GUYO,1190122,Rue Jean Raymond Guyon ,,,19,19950125180600,20070118195000
2618,RUE,JEAN ROSPIDE,4,1242A,ROSP,1190123,Rue Jean Rospide ,,,19,19950125180600,20070118195000
2619,AVE,JEAN ZAY,4,1247F,ZAY,1190124,Avenue Jean Zay ,,,19,19950125180600,20070319113100
2620,RUE,JOACHIM DU BELLAY,5,1252L,BELL,1190125,Rue Joachim du Bellay ,,,19,19950125180600,20070118195000
2621,RUE,JULES FERRY,4,1258T,FERR,1190126,Rue Jules Ferry ,,,19,19950125180600,20070118195000
2622,RUE,JULES GUESDE,4,1263Y,GUES,1190127,Rue Jules Guesde ,,,19,19950125180600,20070118195000
2623,RUE,DE LA JUSTICE,4,1268D,JUST,1190128,Rue de la Justice ,,,19,19950125180600,20070423165500
2624,RUE,LAENNEC,4,1278P,LAEN,1190129,Rue Laennec ,,,19,19950125180600,20070118195000
2625,RUE,LAMARTINE,4,1284W,LAMA,1190130,Rue Lamartine ,,,19,19950125180600,20070423165500
2626,RUE,LAVOISIER,4,1295H,LAVO,1190131,Rue Lavoisier ,,,19,19950125180600,20070118195000
2627,PCE,LEO LAGRANGE,4,1301P,LAGR,1190132,Place Léo Lagrange ,,,19,19950125180600,20070118195000
2628,RUE,LEO LAGRANGE,4,1302R,LAGR,1190133,Rue Léo Lagrange ,,,19,19950125180600,20070423165500
2629,RUE,LEON BLUM,4,1397W,BLUM,1190134,Rue Léon Blum ,,,19,19950125180600,20070423165500
2630,CHEM,LESCAN,4,1312B,LESC,1190135,Chemin Lescan ,,,19,19950125180600,20070423165500
2631,RUE,DE LA LIBERATION,4,1317G,LIBE,1190136,Rue de la Libération ,,,19,19950125180600,20070423165500
2632,RUE,DE LA LIBERTE,4,1322M,LIBE,1190137,Rue de la Liberté ,,,19,19950125180600,20070118195000
2633,CHEM,DE LISSANDRE,4,1290C,LISS,1190141,Chemin de Lissandre ,,,19,19950125180600,20070118195000
2634,ALL,DE LODI,4,1332Y,LODI,1190142,Allée de Lodi ,,,19,19950125180600,20070118195000
2635,RUE,DU LORET,4,1337D,LORE,1190143,Rue du Loret ,,,19,19950125180600,20070423165500
2636,PCE,LOUIS DUVIN,5,1343K,DUVI,1190144,Place Louis Duvin ,,,19,19950125180600,20070118195000
2637,RUE,LOUIS LAGORGETTE,4,1353W,LAGO,1190145,Rue Louis Lagorgette ,,,19,19950125180600,20070423165500
2638,RUE,LOUIS MONDAUT,4,1358B,MOND,1190146,Rue Louis Mondaut ,,,19,19950125180600,20070423165500
2639,RUE,LOUIS PERGAUD,4,1363G,PERG,1190147,Rue Louis Pergaud ,,,19,19950125180600,20070118195000
2640,RUE,LOUISE,4,1348R,LOUI,1190148,Rue Louise ,,,19,19950125180600,20070118195000
2641,RUE,LUCIEN GRANET,4,1369N,GRAN,1190149,Rue Lucien Granet ,,,19,19950125180600,20070423165500
2642,PARC,DE LA MAIRIE,5,1374U,MAIR,1190150,Parc de la Mairie ,,,19,19950125180600,20070118195000
2643,RUE,DE LA MALMAISON,4,1379Z,MALM,1190151,Rue de la Malmaison ,,,19,19950125180600,20070118195000
2644,RUE,MARC NOUAUX,4,1394R,NOUA,1190152,Rue Marc Nouaux ,,,19,19950125180600,20070423165500
2646,RUE,MARCEL SEMBAT,4,1389K,SEMB,1190154,Rue Marcel Sembat ,,,19,19950125180600,20070423165500
2647,RUE,MARCELIN BERTHELOT,4,1384E,BERT,1190155,Rue Marcelin Berthelot ,,,19,19950125180600,20070118195000
2648,RUE,DU MARECHAL FOCH,4,1400X,FOCH,1190157,Rue du Maréchal Foch ,,,19,19950125180600,20070423165500
2650,RUE,DU MARECHAL JOFFRE,4,1410H,JOFF,1190159,Rue du Maréchal Joffre ,,,19,19950125180600,20070423165500
2651,ALL,DE MARENGO,4,1421V,MARE,1190160,Allée de Marengo ,,,19,19950125180600,20070118195000
2652,RUE,MARGUERITE,4,1426A,MARG,1190161,Rue Marguerite ,,,19,19950125180600,20070118195000
2654,RUE,DU MAROC,4,1437M,MARO,1190163,Rue du Maroc ,,,19,19950125180600,20070118195000
2655,RUE,MARTIN DU GARD,4,1442T,GARD,1190164,Rue Martin du Gard ,,,19,19950125180600,20070423165500
2657,AVE,MAURICE RIVIERE,4,1458K,RIVI,1190166,Avenue Maurice Rivière ,,,19,19950125180600,20070118195000
2658,RUE,MARX DORMOY,4,,DORM,1190167,Rue Marx Dormoy ,,,19,19950125180600,20070423165500
2659,COTE,DE MONREPOS,4,5009*,MONR,1190168,Côte de Monrepos ,,,19,19950125180600,20070118195000
2660,ALL,DE MONTENOTTE,4,1468W,MONT,1190169,Allée de Montenotte ,,,19,19950125180600,20070118195000
2662,RUE,MOZART,4,1478G,MOZA,1190171,Rue Mozart ,,,19,19950125180600,20070423165500
2663,VOIE,NON DENOMMEE 1,4,5010*,DENO,1190172,Voie Non denommée 1 ,,,19,19950125180600,20070118195000
2664,RUE,PABLO PICASSO,4,1499E,PICA,1190173,Rue Pablo Picasso ,,,19,19950125180600,20070423165500
2665,RUE,DE LA PAIX,4,1504K,PAIX,1190174,Rue de la Paix ,,,19,19950125180600,20070423165500
