,prenoms,sexe,nombre_prenoms_sexe,nombre_prenoms,proportion
75,alexandre,M,3785,3785,1.0
76,alexane,F,25,25,1.0
77,alexi,M,5,5,1.0
78,alexia,F,371,371,1.0
79,alexis,M,1968,1968,1.0
80,alexy,M,13,13,1.0
81,alfred,M,43,43,1.0
82,ali,M,384,384,1.0
83,alia,F,43,43,1.0
84,alice,F,2579,2579,1.0
85,alicia,F,1004,1004,1.0
86,alienor,F,205,205,1.0
87,alima,F,18,18,1.0
88,alina,F,18,18,1.0
89,aline,F,89,89,1.0
90,aliou,M,8,8,1.0
91,alisha,F,9,9,1.0
92,alison,F,5,5,1.0
93,alissa,F,23,23,1.0
94,alistair,M,24,24,1.0
95,alix,F,989,1001,0.988011988011988
97,alixe,F,12,12,1.0
98,aliya,F,136,136,1.0
99,aliyah,F,68,68,1.0
100,alizee,F,19,19,1.0
101,alizÉe,F,9,9,1.0
102,alizée,F,38,38,1.0
103,aliénor,F,11,11,1.0
104,allan,M,103,103,1.0
105,allegra,F,6,6,1.0
106,alma,F,224,224,1.0
107,alon,M,15,15,1.0
108,alone,M,27,27,1.0
109,aloys,M,27,27,1.0
110,aloïs,M,93,93,1.0
111,alpha,M,32,32,1.0
112,alphonse,M,12,12,1.0
113,alwena,F,13,13,1.0
114,aly,M,25,25,1.0
115,alya,F,152,152,1.0
116,alyah,F,8,8,1.0
117,alycia,F,109,109,1.0
118,alyssa,F,242,242,1.0
119,alyssia,F,34,34,1.0
120,alysson,F,6,6,1.0
121,amadou,M,97,97,1.0
122,amalia,F,70,70,1.0
123,amanda,F,13,13,1.0
124,amandine,F,641,641,1.0
125,amani,M,8,8,1.0
126,amar,M,6,6,1.0
127,amara,M,37,37,1.0
128,amaury,M,489,489,1.0
129,amaya,F,10,10,1.0
130,amaël,M,10,10,1.0
131,amaïa,F,6,6,1.0
132,ambre,F,1357,1357,1.0
133,ambrine,F,34,34,1.0
134,ambroise,M,167,167,1.0
135,amel,F,197,197,1.0
136,amelia,F,101,101,1.0
137,amelie,F,274,274,1.0
138,amicie,F,28,28,1.0
139,amin,M,43,43,1.0
140,amina,F,276,276,1.0
141,aminata,F,336,336,1.0
142,amine,M,870,870,1.0
143,amir,M,335,335,1.0
144,amira,F,196,196,1.0
145,amos,M,6,6,1.0
146,amy,F,95,95,1.0
147,amÉlie,F,62,62,1.0
148,amélia,F,32,32,1.0
149,amélie,F,212,212,1.0
150,ana,F,290,290,1.0
151,anabelle,F,5,5,1.0
152,anae,F,90,90,1.0
153,anael,F,7,7,1.0
154,anaelle,F,37,37,1.0
155,anas,M,236,236,1.0
156,anass,M,10,10,1.0
157,anastasia,F,139,139,1.0
158,anatole,M,390,390,1.0
159,anaÉ,F,42,42,1.0
160,anaËl,M,6,6,1.0
161,anaËlle,F,103,103,1.0
162,anaÏs,F,351,351,1.0
163,anaé,F,64,64,1.0
164,anaël,F,28,28,1.0
165,anaëlle,F,401,401,1.0
166,anaïs,F,1909,1909,1.0
167,andre,M,96,96,1.0
168,andrea,F,526,538,0.9776951672862454
170,andreas,M,62,62,1.0
171,andrei,M,6,6,1.0
172,andrew,M,7,7,1.0
173,andrÉa,F,17,17,1.0
174,andréa,F,97,112,0.8660714285714286
176,andy,M,172,172,1.0
177,ange,M,133,133,1.0
179,angel,M,62,122,0.5081967213114754
180,angela,F,71,71,1.0
181,angelina,F,243,243,1.0
182,angeline,F,5,5,1.0
183,angelique,F,60,60,1.0
184,angelo,M,118,118,1.0
185,angie,F,16,16,1.0
186,angÈle,F,72,72,1.0
187,angèle,F,316,316,1.0
188,angélina,F,17,17,1.0
189,ania,F,54,54,1.0
190,anis,M,377,377,1.0
191,anissa,F,258,258,1.0
192,anita,F,16,16,1.0
193,anna,F,2007,2007,1.0
194,annabelle,F,73,73,1.0
195,annaëlle,F,43,43,1.0
196,anne,F,106,106,1.0
197,anne-laure,F,6,6,1.0
198,anne-sophie,F,7,7,1.0
199,anouck,F,50,50,1.0
200,anouk,F,609,609,1.0
201,anselme,M,42,42,1.0
202,anthony,M,514,514,1.0
203,antoine,M,3315,3315,1.0
204,anton,M,267,267,1.0
205,antoni,M,5,5,1.0
206,antonia,F,11,11,1.0
207,antonin,M,827,827,1.0
208,antonio,M,11,11,1.0
209,antony,M,62,62,1.0
210,anya,F,44,44,1.0
211,apolline,F,826,826,1.0
212,appoline,F,7,7,1.0
213,archibald,M,13,13,1.0
214,arda,M,17,17,1.0
215,ari,M,44,44,1.0
216,ariane,F,193,193,1.0
217,arie,M,38,38,1.0
218,ariel,M,138,138,1.0
219,arielle,F,21,21,1.0
220,arij,F,5,5,1.0
221,aris,M,12,12,1.0
222,aristide,M,45,45,1.0
223,arman,M,6,6,1.0
224,armance,F,17,17,1.0
225,armand,M,466,466,1.0
226,armel,M,25,25,1.0
227,armelle,F,5,5,1.0
228,arnaud,M,257,257,1.0
229,arno,M,12,12,1.0
230,aron,M,15,15,1.0
231,arsÈne,M,12,12,1.0
232,arsène,M,250,250,1.0
233,artemis,F,5,5,1.0
234,arthur,M,4018,4018,1.0
235,arthus,M,71,71,1.0
236,arto,M,6,6,1.0
237,artus,M,42,42,1.0
238,arwa,F,5,5,1.0
239,arwen,F,24,24,1.0
240,ashley,F,120,120,1.0
241,asia,F,5,5,1.0
242,asma,F,182,182,1.0
243,asmaa,F,5,5,1.0
244,assa,F,98,98,1.0
245,assetou,F,7,7,1.0
246,assia,F,379,379,1.0
247,assil,F,13,13,1.0
248,assya,F,22,22,1.0
249,astou,F,5,5,1.0
250,astrid,F,219,219,1.0
251,athena,F,6,6,1.0
252,athenaïs,F,55,55,1.0
253,aubane,F,5,5,1.0
254,aubin,M,106,106,1.0
255,aude,F,97,97,1.0
256,audrey,F,331,331,1.0
257,auguste,M,218,218,1.0
258,augustin,M,1089,1089,1.0
259,augustine,F,60,60,1.0
260,aurel,M,11,11,1.0
261,aurelia,F,46,46,1.0
262,aurelie,F,105,105,1.0
263,aurelien,M,496,496,1.0
264,auriane,F,94,94,1.0
265,aurore,F,333,333,1.0
266,aurÉlien,M,49,49,1.0
267,aurèle,M,169,169,1.0
268,aurélie,F,54,54,1.0
269,aurélien,M,166,166,1.0
270,auxence,M,6,6,1.0
271,ava,F,538,538,1.0
272,avi,M,23,23,1.0
273,aviel,M,7,7,1.0
274,avital,F,7,7,1.0
275,avril,F,38,38,1.0
276,awa,F,214,214,1.0
277,axel,M,1887,1887,1.0
278,axelle,F,396,396,1.0
279,aya,F,639,639,1.0
280,ayah,F,5,5,1.0
281,aydan,M,23,23,1.0
282,ayden,M,21,21,1.0
283,ayem,F,5,5,1.0
284,aylan,M,51,51,1.0
285,aylin,F,23,23,1.0
286,ayline,F,6,6,1.0
287,ayman,M,92,92,1.0
288,aymane,M,31,31,1.0
289,aymen,M,207,207,1.0
290,aymeric,M,271,271,1.0
291,ayoub,M,451,451,1.0
292,aziliz,F,7,7,1.0
293,aziz,M,13,13,1.0
294,aïcha,F,304,304,1.0
295,aïda,F,50,50,1.0
296,aïdan,M,24,24,1.0
297,aïna,F,5,5,1.0
298,aïsha,F,6,6,1.0
299,aïssa,F,11,11,1.0
300,aïssata,F,97,97,1.0
301,aïssatou,F,117,117,1.0
302,badis,M,26,26,1.0
303,bafode,M,5,5,1.0
304,bahia,F,12,12,1.0
305,bakary,M,84,84,1.0
306,balthazar,M,166,166,1.0
307,baptiste,M,2227,2227,1.0
308,barbara,F,54,54,1.0
309,barnabe,M,37,37,1.0
310,barthelemy,M,18,18,1.0
311,basil,M,5,5,1.0
312,basile,M,548,548,1.0
313,bastian,M,14,14,1.0
314,bastien,M,690,690,1.0
315,batiste,M,5,5,1.0
316,baudouin,M,29,29,1.0
317,baya,F,19,19,1.0
318,beatrice,F,30,30,1.0
319,bella,F,5,5,1.0
320,ben,M,76,76,1.0
321,benedicte,F,15,15,1.0
322,benjamin,M,1460,1460,1.0
323,benoit,M,6,6,1.0
324,benoît,M,162,162,1.0
325,berenice,F,240,240,1.0
326,bertille,F,127,127,1.0
327,beryl,F,6,6,1.0
328,bettina,F,17,17,1.0
329,betty,F,6,6,1.0
330,bianca,F,133,133,1.0
331,bilal,M,308,308,1.0
332,bilel,M,109,109,1.0
333,billie,F,19,19,1.0
334,binta,F,56,56,1.0
335,bintou,F,165,165,1.0
336,blaise,M,12,12,1.0
337,blanche,F,363,363,1.0
338,blandine,F,61,61,1.0
339,blessing,F,6,6,1.0
340,bleuenn,F,17,17,1.0
341,bogdan,M,5,5,1.0
342,bonnie,F,12,12,1.0
343,boris,M,45,45,1.0
344,boubacar,M,89,89,1.0
345,boubou,M,12,12,1.0
346,bouchra,F,6,6,1.0
347,bradley,M,5,5,1.0
348,brahim,M,35,35,1.0
349,brandon,M,21,21,1.0
350,brayan,M,27,27,1.0
351,briac,M,31,31,1.0
352,brian,M,11,11,1.0
353,brice,M,46,46,1.0
354,brieuc,M,60,60,1.0
355,brune,F,140,140,1.0
356,bruno,M,64,64,1.0
357,bryan,M,167,167,1.0
358,bÉrÉnice,F,17,17,1.0
359,calista,F,11,11,1.0
360,calixte,M,92,92,1.0
361,calvin,M,25,25,1.0
362,camelia,F,152,152,1.0
363,cameron,M,61,61,1.0
364,camil,M,49,49,1.0
365,camila,F,30,30,1.0
366,camilia,F,27,27,1.0
367,camille,F,4017,4239,0.9476291578202406
369,camélia,F,48,48,1.0
370,candice,F,418,418,1.0
371,capucine,F,935,935,1.0
372,carine,F,9,9,1.0
373,carl,M,54,54,1.0
374,carla,F,795,795,1.0
375,carlotta,F,8,8,1.0
376,carmen,F,87,87,1.0
377,caroline,F,220,220,1.0
378,cassandra,F,245,245,1.0
379,cassandre,F,260,260,1.0
380,cassie,F,25,25,1.0
381,cassiopee,F,11,11,1.0
382,castille,F,40,40,1.0
383,catherine,F,84,84,1.0
384,cecile,F,158,158,1.0
385,cecilia,F,73,73,1.0
386,cedric,M,101,101,1.0
387,celeste,F,310,310,1.0
388,celestin,M,62,62,1.0
389,celestine,F,52,52,1.0
390,celia,F,435,435,1.0
391,celian,M,57,57,1.0
392,celina,F,21,21,1.0
393,celine,F,263,263,1.0
394,cerise,F,19,19,1.0
395,cesar,M,259,259,1.0
396,chahine,M,27,27,1.0
397,chahinez,F,31,31,1.0
398,chanel,F,6,6,1.0
399,charles,M,942,942,1.0
400,charlie,F,370,471,0.7855626326963907
402,charline,F,317,317,1.0
403,charlize,F,10,10,1.0
404,charlotte,F,2109,2109,1.0
405,charly,M,150,150,1.0
406,charlÈne,F,10,10,1.0
407,charlène,F,31,31,1.0
408,chayma,F,33,33,1.0
409,chaï,M,7,7,1.0
410,chaïma,F,225,225,1.0
411,cheick,M,64,64,1.0
412,cheick-oumar,M,6,6,1.0
413,cheikh,M,28,28,1.0
414,chelsea,F,12,12,1.0
415,chiara,F,556,556,1.0
416,chirine,F,15,15,1.0
417,chloe,F,2147,2147,1.0
418,chloÉ,F,527,527,1.0
419,chloé,F,1256,1256,1.0
420,chris,M,72,72,1.0
421,christ,M,7,7,1.0
422,christelle,F,49,49,1.0
423,christian,M,136,136,1.0
424,christina,F,29,29,1.0
425,christine,F,81,81,1.0
426,christophe,M,106,106,1.0
427,christopher,M,90,90,1.0
428,cindy,F,91,91,1.0
429,claire,F,475,475,1.0
430,clara,F,2748,2748,1.0
431,clarence,M,61,61,1.0
432,clarisse,F,408,408,1.0
433,claudia,F,55,55,1.0
434,clea,F,83,83,1.0
435,clelia,F,67,67,1.0
436,clelie,F,6,6,1.0
437,clemence,F,978,978,1.0
438,clement,M,1287,1287,1.0
439,clementine,F,340,340,1.0
440,cleo,F,125,125,1.0
441,cleophee,F,49,49,1.0
442,cloe,F,87,87,1.0
443,clothilde,F,68,68,1.0
444,clotilde,F,159,159,1.0
445,clovis,M,174,174,1.0
446,cloÉ,F,30,30,1.0
447,cloé,F,123,123,1.0
448,clÉa,F,16,16,1.0
449,clÉmence,F,297,297,1.0
450,clÉment,M,547,547,1.0
451,clÉmentine,F,132,132,1.0
452,cléa,F,65,65,1.0
453,clélia,F,25,25,1.0
454,clémence,F,579,579,1.0
455,clément,M,1224,1224,1.0
456,clémentine,F,159,159,1.0
457,cléo,F,25,25,1.0
458,colette,F,89,89,1.0
459,colin,M,119,119,1.0
460,coline,F,385,385,1.0
461,colombe,F,164,164,1.0
462,constance,F,632,632,1.0
463,constant,M,29,29,1.0
464,constantin,M,134,134,1.0
465,coralie,F,175,175,1.0
466,coraline,F,6,6,1.0
467,corentin,M,810,810,1.0
468,corto,M,13,13,1.0
469,cosima,F,5,5,1.0
470,coumba,F,89,89,1.0
471,curtis,M,33,33,1.0
472,cynthia,F,37,37,1.0
473,cyprien,M,217,217,1.0
474,cyrian,M,6,6,1.0
475,cyriaque,M,6,6,1.0
476,cyrielle,F,42,42,1.0
477,cyril,M,107,107,1.0
478,cyrille,M,7,7,1.0
479,cyrine,F,24,24,1.0
480,cyrus,M,12,12,1.0
481,cÉleste,F,33,33,1.0
482,cÉlia,F,115,115,1.0
483,cÉline,F,7,7,1.0
484,cÔme,M,70,70,1.0
485,cécile,F,56,56,1.0
486,cécilia,F,10,10,1.0
487,céleste,F,38,38,1.0
488,célia,F,485,485,1.0
489,célian,M,67,67,1.0
490,céline,F,14,14,1.0
491,césar,M,11,11,1.0
492,côme,M,570,570,1.0
493,dahlia,F,24,24,1.0
494,dalia,F,40,40,1.0
495,dalla,F,5,5,1.0
496,damian,M,29,29,1.0
497,damien,M,400,400,1.0
498,dan,M,152,152,1.0
499,dana,F,53,53,1.0
500,danae,F,22,22,1.0
501,dani,M,6,6,1.0
502,daniel,M,438,438,1.0
503,daniela,F,20,20,1.0
504,danny,M,7,7,1.0
505,dany,M,48,48,1.0
506,danyl,M,5,5,1.0
507,daouda,M,35,35,1.0
508,daphne,F,341,341,1.0
509,daphnee,F,47,47,1.0
510,daphnÉ,F,33,33,1.0
511,daphné,F,53,53,1.0
512,daria,F,42,42,1.0
513,darine,F,13,13,1.0
514,dario,M,23,23,1.0
515,darius,M,91,91,1.0
516,darren,M,5,5,1.0
517,david,M,954,954,1.0
518,davon,M,6,6,1.0
519,dayane,M,5,5,1.0
520,deborah,F,98,98,1.0
521,delphine,F,69,69,1.0
522,demba,M,38,38,1.0
523,denis,M,35,35,1.0
524,diana,F,117,117,1.0
525,diane,F,688,688,1.0
526,diego,M,537,537,1.0
527,dilan,M,6,6,1.0
528,dimitri,M,278,278,1.0
529,dina,F,175,175,1.0
530,divine,F,37,37,1.0
531,djeneba,F,61,61,1.0
532,djibril,M,252,252,1.0
533,domitille,F,129,129,1.0
534,dora,F,24,24,1.0
535,dorian,M,715,715,1.0
536,doriane,F,26,26,1.0
537,dounia,F,186,186,1.0
538,dov,M,5,5,1.0
539,driss,M,5,5,1.0
540,dune,F,12,12,1.0
541,dylan,M,715,715,1.0
542,dyna,F,5,5,1.0
543,déborah,F,8,8,1.0
544,eddy,M,26,26,1.0
545,eden,F,563,628,0.8964968152866242
547,edgar,M,378,378,1.0
548,edgard,M,6,6,1.0
549,edouard,M,429,429,1.0
550,eduardo,M,8,8,1.0
551,edward,M,5,5,1.0
552,edwin,M,9,9,1.0
553,efe,M,7,7,1.0
554,eglantine,F,56,56,1.0
555,eileen,F,6,6,1.0
556,el,M,41,41,1.0
557,ela,F,46,46,1.0
558,elaïa,F,5,5,1.0
559,elea,F,204,204,1.0
560,eleanor,F,12,12,1.0
561,eleanore,F,6,6,1.0
562,elena,F,500,500,1.0
563,eleonore,F,561,561,1.0
564,eli,M,20,20,1.0
565,elia,F,177,177,1.0
566,eliahou,M,6,6,1.0
567,elian,M,41,41,1.0
568,eliana,F,12,12,1.0
569,eliane,F,6,6,1.0
570,elias,M,854,854,1.0
571,eliaz,M,6,6,1.0
572,elie,M,495,495,1.0
573,eliel,M,14,14,1.0
574,eliette,F,7,7,1.0
575,elif,F,19,19,1.0
576,elijah,M,77,77,1.0
577,elina,F,231,231,1.0
578,eline,F,97,97,1.0
579,elio,M,140,140,1.0
580,elior,M,13,13,1.0
581,eliot,M,463,463,1.0
582,eliott,M,1071,1071,1.0
583,elisa,F,1328,1328,1.0
584,elisabeth,F,163,163,1.0
585,elise,F,1275,1275,1.0
586,elissa,F,51,51,1.0
587,eliza,F,6,6,1.0
588,elizabeth,F,20,20,1.0
589,ella,F,357,357,1.0
590,ellie,F,33,33,1.0
591,elliot,M,338,338,1.0
592,elliott,M,94,94,1.0
593,elly,F,29,29,1.0
594,eloan,M,7,7,1.0
595,eloane,F,38,38,1.0
596,elodie,F,339,339,1.0
597,eloi,M,197,197,1.0
598,elona,F,14,14,1.0
599,elone,M,5,5,1.0
600,elora,F,62,62,1.0
601,elouan,M,373,373,1.0
602,elouann,M,6,6,1.0
603,elouen,M,6,6,1.0
604,eloÏse,F,103,103,1.0
605,eloïse,F,675,675,1.0
606,elsa,F,1090,1090,1.0
607,elvire,F,23,23,1.0
608,elya,F,125,125,1.0
609,elyas,M,102,102,1.0
610,elyes,M,153,153,1.0
611,elyne,F,18,18,1.0
612,elyssa,F,44,44,1.0
613,elyès,M,7,7,1.0
614,elÉa,F,20,20,1.0
615,elÉna,F,13,13,1.0
616,elÉonore,F,12,12,1.0
617,eléa,F,156,156,1.0
618,eléna,F,75,75,1.0
619,eléonore,F,96,96,1.0
620,ema,F,148,148,1.0
621,emeline,F,146,146,1.0
622,emi,F,6,6,1.0
623,emie,F,26,26,1.0
624,emil,M,19,19,1.0
625,emile,M,461,461,1.0
626,emilia,F,68,68,1.0
627,emilie,F,1315,1315,1.0
628,emilien,M,186,186,1.0
629,emilio,M,33,33,1.0
630,emily,F,78,78,1.0
631,emir,M,43,43,1.0
632,emma,F,4570,4570,1.0
633,emmanuel,M,358,358,1.0
634,emmanuelle,F,125,125,1.0
635,emmie,F,28,28,1.0
636,emmy,F,267,267,1.0
637,emna,F,53,53,1.0
638,emy,F,241,241,1.0
639,enes,M,15,15,1.0
640,enguerrand,M,57,57,1.0
641,ennio,M,5,5,1.0
642,enola,F,91,91,1.0
643,enora,F,492,492,1.0
644,enzo,M,3463,3463,1.0
645,ephraïm,M,7,7,1.0
646,eric,M,203,203,1.0
647,erika,F,15,15,1.0
648,erin,F,45,45,1.0
649,erine,F,17,17,1.0
650,ernest,M,90,90,1.0
651,erwan,M,590,590,1.0
652,erwann,M,80,80,1.0
653,esteban,M,887,887,1.0
654,estelle,F,324,324,1.0
655,esther,F,497,497,1.0
656,estÉban,M,22,22,1.0
657,estéban,M,36,36,1.0
658,ethan,M,2180,2180,1.0
659,ethann,M,5,5,1.0
660,ethel,F,108,108,1.0
661,etienne,M,463,463,1.0
662,eugenie,F,266,266,1.0
663,eugÉnie,F,9,9,1.0
664,eugène,M,59,59,1.0
665,eugénie,F,35,35,1.0
666,eulalie,F,79,79,1.0
667,eunice,F,5,5,1.0
668,eurydice,F,12,12,1.0
669,eva,F,2584,2584,1.0
670,evan,M,1238,1238,1.0
671,evann,M,110,110,1.0
672,evans,M,5,5,1.0
673,eve,F,338,338,1.0
674,evy,F,6,6,1.0
675,ewan,M,233,233,1.0
676,ewen,M,534,534,1.0
677,ewenn,M,29,29,1.0
678,eya,F,51,51,1.0
679,eyal,M,93,93,1.0
680,eytan,M,56,56,1.0
681,eythan,M,12,12,1.0
682,ezio,M,29,29,1.0
683,fabien,M,91,91,1.0
684,fabio,M,83,83,1.0
685,fabrice,M,7,7,1.0
686,fadi,M,12,12,1.0
687,fady,M,5,5,1.0
688,fanny,F,425,425,1.0
689,fanta,F,167,167,1.0
690,fantine,F,37,37,1.0
691,farah,F,229,229,1.0
692,fares,M,107,107,1.0
693,farouk,M,5,5,1.0
694,farès,M,96,96,1.0
695,fatim,F,34,34,1.0
696,fatima,F,223,223,1.0
697,fatimata,F,18,18,1.0
698,fatma,F,16,16,1.0
699,fatou,F,127,127,1.0
700,fatouma,F,12,12,1.0
701,fatoumata,F,488,488,1.0
702,faustine,F,705,705,1.0
703,fayçal,M,5,5,1.0
704,federico,M,5,5,1.0
705,felicie,F,67,67,1.0
706,felicien,M,5,5,1.0
707,felix,M,573,573,1.0
708,ferdinand,M,122,122,1.0
709,feriel,F,15,15,1.0
710,feryel,F,5,5,1.0
711,filip,M,46,46,1.0
712,filipe,M,6,6,1.0
713,fiona,F,117,117,1.0
714,firas,M,6,6,1.0
715,flavia,F,7,7,1.0
716,flavie,F,185,185,1.0
717,flavien,M,43,43,1.0
718,flavio,M,43,43,1.0
719,fleur,F,127,127,1.0
720,flora,F,341,341,1.0
721,flore,F,173,173,1.0
722,florence,F,23,23,1.0
723,florent,M,181,181,1.0
724,florentin,M,6,6,1.0
725,florian,M,763,763,1.0
726,floriane,F,30,30,1.0
727,fode,M,17,17,1.0
728,foucauld,M,12,12,1.0
729,francesca,F,24,24,1.0
730,francis,M,6,6,1.0
731,franck,M,80,80,1.0
732,franklin,M,5,5,1.0
733,franÇois,M,27,27,1.0
734,françois,M,287,287,1.0
735,frederic,M,70,70,1.0
736,frida,F,5,5,1.0
737,frédéric,M,5,5,1.0
738,fÉlix,M,89,89,1.0
739,félix,M,109,109,1.0
740,gabin,M,1136,1136,1.0
741,gabriel,M,4304,4304,1.0
742,gabriela,F,76,76,1.0
743,gabriella,F,56,56,1.0
744,gabrielle,F,1044,1044,1.0
745,gad,M,6,6,1.0
746,gaetan,M,52,52,1.0
747,garance,F,596,596,1.0
748,gary,M,26,26,1.0
749,gaspar,M,43,43,1.0
750,gaspard,M,1578,1578,1.0
751,gaston,M,108,108,1.0
752,gauthier,M,222,222,1.0
753,gautier,M,48,48,1.0
754,gaËtan,M,13,13,1.0
755,gaétan,M,12,12,1.0
756,gaël,M,273,273,1.0
757,gaëlle,F,70,70,1.0
758,gaëtan,M,196,196,1.0
759,gaïa,F,65,65,1.0
760,geoffrey,M,13,13,1.0
761,geoffroy,M,10,10,1.0
762,george,M,5,5,1.0
763,georges,M,143,143,1.0
764,georgia,F,5,5,1.0
765,germain,M,20,20,1.0
766,giacomo,M,5,5,1.0
767,gianni,M,63,63,1.0
768,giovanni,M,91,91,1.0
769,giulia,F,217,217,1.0
770,giulian,M,5,5,1.0
771,giulio,M,12,12,1.0
772,gladys,F,6,6,1.0
773,gloria,F,70,70,1.0
774,gonzague,M,8,8,1.0
775,goundo,F,29,29,1.0
776,grace,F,103,103,1.0
777,gregoire,M,367,367,1.0
778,gregory,M,10,10,1.0
779,grÉgoire,M,18,18,1.0
780,grâce,F,47,47,1.0
781,grégoire,M,96,96,1.0
782,grégory,M,37,37,1.0
783,guilhem,M,215,215,1.0
784,guillaume,M,807,807,1.0
785,guillemette,F,15,15,1.0
786,gustave,M,269,269,1.0
787,guy,M,6,6,1.0
788,gwenaëlle,F,11,11,1.0
789,gwendal,M,21,21,1.0
791,gwendoline,M,14,19,0.7368421052631579
792,habib,M,18,18,1.0
793,habiba,F,5,5,1.0
794,haby,F,40,40,1.0
795,hadja,F,5,5,1.0
796,hadriel,M,5,5,1.0
797,hadrien,M,346,346,1.0
798,hafsa,F,25,25,1.0
799,hajar,F,79,79,1.0
800,hakim,M,14,14,1.0
801,halima,F,41,41,1.0
802,hamed,M,16,16,1.0
803,hamidou,M,6,6,1.0
804,hamza,M,349,349,1.0
805,hana,F,132,132,1.0
806,hanae,F,104,104,1.0
807,hanaÉ,F,8,8,1.0
808,hanaé,F,32,32,1.0
809,hania,F,11,11,1.0
810,hanna,F,231,231,1.0
811,hannah,F,219,219,1.0
812,harold,M,18,18,1.0
813,haron,M,13,13,1.0
814,haroun,M,28,28,1.0
815,harouna,M,11,11,1.0
816,haroune,M,5,5,1.0
817,harry,M,66,66,1.0
818,hasna,F,11,11,1.0
819,hassan,M,24,24,1.0
820,hassane,M,5,5,1.0
821,hatem,M,11,11,1.0
822,hatouma,F,5,5,1.0
823,hawa,F,212,212,1.0
824,haya,F,30,30,1.0
825,hayden,M,44,44,1.0
826,haïm,M,7,7,1.0
827,hector,M,355,355,1.0
828,hedi,M,48,48,1.0
829,helena,F,96,96,1.0
830,helie,M,17,17,1.0
831,helios,M,7,7,1.0
832,heloïse,F,703,703,1.0
833,helèna,F,6,6,1.0
834,helène,F,247,247,1.0
835,henri,M,249,249,1.0
836,henry,M,67,67,1.0
837,hermine,F,65,65,1.0
838,hiba,F,33,33,1.0
839,hicham,M,27,27,1.0
840,hichem,M,5,5,1.0
841,hillel,M,23,23,1.0
842,hind,F,42,42,1.0
843,hippolyte,M,368,368,1.0
844,honore,M,9,9,1.0
845,hortense,F,240,240,1.0
846,houda,F,17,17,1.0
847,hubert,M,28,28,1.0
848,hugo,M,3218,3218,1.0
849,hugues,M,46,46,1.0
850,hÉloÏse,F,88,88,1.0
851,hélia,F,5,5,1.0
852,héloïse,F,199,199,1.0
853,hélène,F,24,24,1.0
854,ian,M,55,55,1.0
855,iban,M,35,35,1.0
856,ibrahim,M,533,533,1.0
857,ibrahima,M,173,173,1.0
858,idan,M,6,6,1.0
859,idir,M,16,16,1.0
860,idris,M,37,37,1.0
861,idriss,M,137,137,1.0
862,idrissa,M,27,27,1.0
863,igor,M,16,16,1.0
864,ikram,F,16,16,1.0
865,ilan,M,537,537,1.0
866,ilana,F,78,78,1.0
867,ilann,M,5,5,1.0
868,ilham,F,5,5,1.0
869,ilhan,M,81,81,1.0
