GID,IDENT,NUMERO,NUMERO_X,NUMERO_Y,NUMERO_O,POP_MUN,POP_CAP,POP_TOT,POP_SDC,NB_LOG_P,NB_LOG_S,NB_LOG_O,NB_LOG_V,NB_LOG_T,CDATE,MDATE
2159,063KJ11,KJ11,1417464.86,4188364.71,0,90,0,90,90,58,0,1,15,74,19951128150100,20060905225600
2160,063KJ01,KJ01,1417397.08,4188355.39,0,55,0,55,55,38,0,3,19,60,19951128150100,20060905225600
2161,063KJ02,KJ02,1417424.29,4188444.33,0,67,0,67,67,41,0,1,18,60,19951128150100,20060905225600
2162,063KN11,KN11,1417469.73,4188556.98,4.1,0,0,0,0,0,0,0,0,0,19951128150100,20060905225600
2163,063KN12,KN12,1417453.67,4188531.05,0,0,0,0,0,0,0,0,2,2,19951128150200,20060905225600
2164,063KN14,KN14,1417388.68,4188526.12,0,68,0,68,68,42,0,6,10,58,19951128150200,20060905225600
2165,063KN16,KN16,1417314.73,4188505.85,0,95,0,95,95,55,0,1,11,67,19951128150200,20060905225600
2166,063KN17,KN17,1417245.3,4188497.65,0,29,0,29,29,19,0,0,12,31,19951128150200,20060905225600
2167,063KN18,KN18,1417208.61,4188517.83,276.8,70,0,70,70,36,0,1,9,46,19951128150200,20060905225600
2168,063KH12,KH12,1417144.97,4188482.01,0,67,0,67,67,46,1,3,15,65,19951128150200,20060905225600
2169,063KH03,KH03,1417157.19,4188368.5,0,104,4,108,104,62,0,1,5,68,19951128150200,20060905225600
2170,063KH04,KH04,1417223.74,4188395.37,277.7,92,0,92,92,48,1,6,12,67,19951128150200,20060905225600
2171,063KH05,KH05,1417251.26,4188415.6,60.1,0,0,0,0,0,0,0,0,0,19951128150300,20060905225600
2172,063KH06,KH06,1417269.5,4188369.72,0,211,0,211,211,160,4,9,30,203,19951128150300,20060905225600
2173,063KH07,KH07,1417337.85,4188380.13,0,53,0,53,53,31,0,1,28,60,19951128150300,20060905225600
2174,063KN10,KN10,1417446.5,4188591.67,0,2,0,2,2,1,0,0,2,3,19951128150300,20060905225600
2175,063KN09,KN09,1417441.48,4188647.87,0,54,0,54,54,35,0,0,3,38,19951128150300,20060905225600
2176,063KN08,KN08,1417378.79,4188655.02,0,27,0,27,27,21,0,0,2,23,19951128150300,20060905225600
3900,119AB05,AB05,1421616.66,4190326.95,0,346,0,346,346,127,0,0,1,128,19951205104800,20060905225800
4104,0130004,0004,1425379.39,4190717.75,0,272,0,272,272,87,0,1,0,88,19951206095200,20060905225800
4105,0130013,0013,1423945.75,4190790.5,0,12,0,12,12,4,0,0,0,4,19951206095800,20060905225800
3934,119AI10,AI10,1422894.9,4190913.75,0,24,0,24,24,10,0,0,1,11,19951205111600,20060905225800
3935,119AI02,AI02,1423081.43,4191077.43,0,52,0,52,52,20,0,0,1,21,19951205111600,20060905225800
4131,032AK12,AK12,1422592.21,4194729.09,0,125,0,125,125,50,0,0,0,50,19951206121500,20060905225800
4132,032AK09,AK09,1422642.73,4194639.55,0,56,0,56,56,22,0,0,0,22,19951206121500,20060905225800
