,type,street_simple,code_riv,street_full,code_commune,type_full,code_riv_commune,COM_code_commune,COM_code_ilot,COM_nom_commune_maj,COM_abscisse,COM_ordonne,COM_orientation,COM_nom_commune,COM_date_creation,COM_date_modifiction,ILOT_code_ilot_normalise,ILOT_pop_municipale,ILOT_pop_compté_a_part,ILOT_pop_totale,ILOT_pop_sans_double_compte,ILOT_nbr_residence_prin,ILOT_nbr_residence_secon,ILOT_NB_LOG_O,ILOT_nbr_logement_vancant,ILOT_nbr_logement_total,QUAR_code_rivoli,QUAR_nom_quartier,QUAR_nom_voie,QUAR_type,QUAR_code_rivoli_commune,nom_street_1,nom_street_2,prenoms_join_1,sexe_join_1,nombre_prenoms_sexe_join_1,nombre_prenoms_join_1,proportion_join_1,prenoms_join_2,sexe_join_2,nombre_prenoms_sexe_join_2,nombre_prenoms_join_2,proportion_join_2,title_name_1,title_genre_1,title_name_2,title_genre_2,title_coef,street_genre,perso_nom_1,perso_genre_1,perso_nom_2,perso_genre_2
12,rue,DES FAUVETTES,0124,Rue des Fauvettes,22,Rue,012422ru,22,75,BRUGES,1414781.69,4193674.64,0,Bruges,19920310181800,20080925154252,75.0,10610.0,0.0,10610.0,10610.0,4327.0,12.0,32.0,157.0,4528.0,,,,,,fauvettes,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
13,rue,DES FAUVETTES,0246,Rue des Fauvettes ,6,Rue,02466ru,6,56,BLANQUEFORT,1413725.57,4197385.21,0,Blanquefort,19920310181800,20080925154200,56.0,13899.0,693.0,14592.0,13899.0,5334.0,22.0,40.0,173.0,5569.0,,,,,,fauvettes,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
14,rue,DES FAUVETTES,5495,Rue des Fauvettes ,14,Rue,549514ru,14,192,GRADIGNAN,1412269.47,4180306.34,0,Gradignan,19920310181800,20080925154356,192.0,21533.0,1040.0,22573.0,22191.0,9199.0,62.0,136.0,416.0,9813.0,,,,,,fauvettes,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
15,pce,DES FAUVETTES,0757,Place des Fauvettes ,9,Place,07579pl,9,167,FLOIRAC,1420823.75,4187470.98,0,Floirac,19920310181800,20090430112628,167.0,16157.0,0.0,16157.0,16157.0,6169.0,9.0,62.0,224.0,6464.0,,,,,,fauvettes,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
16,rue,DES FAUVETTES,1210,Rue des Fauvettes ,15,Rue,121015ru,15,318,PESSAC,1408595.98,4183495.63,0,Pessac,19920310181800,20080925154448,318.0,56121.0,230.0,56351.0,56131.0,22025.0,181.0,178.0,935.0,23319.0,,,,,,fauvettes,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
17,ave,DES FAUVETTES,0920,Avenue des Fauvettes ,16,Avenue,092016av,16,281,MERIGNAC,1407488.34,4187533.36,0,Mérignac,19920310181800,20130507130812,281.0,61843.0,948.0,62791.0,61988.0,27600.0,163.0,278.0,1553.0,29594.0,,,,,,fauvettes,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
18,rue,DES FAUVETTES,2730044,Rue des Fauvettes,29,Rue,273004429ru,29,273,MARTIGNASSUR JALLE,1398682.13,4190163.48,0,Martignas-sur-Jalle,20130306151112,20130507130820,,,,,,,,,,,,,,,,fauvettes,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
19,ave,DE LA FERME,0106,Avenue de la Ferme ,28,Avenue,010628av,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,,ferme,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
20,imp,DE LA FERME,0615,Impasse de la Ferme ,23,Impasse,061523im,23,69,LE BOUSCAT,1414160.57,4191121.81,0,Le Bouscat,19920310181800,20080925154240,69.0,22455.0,0.0,22455.0,22455.0,10315.0,82.0,117.0,701.0,11215.0,,,,,,ferme,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
21,bd,FEYDEAU,0108,Boulevard Feydeau ,28,Boulevard,010828bo,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,,feydeau,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
22,rue,DE LA FONTAINE,0112,Rue de la Fontaine ,28,Rue,011228ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,,fontaine,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
23,rue,LA FONTAINE,6882,Rue la Fontaine ,14,Rue,688214ru,14,192,GRADIGNAN,1412269.47,4180306.34,0,Gradignan,19920310181800,20080925154356,192.0,21533.0,1040.0,22573.0,22191.0,9199.0,62.0,136.0,416.0,9813.0,,,,,,fontaine,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
24,rue,DE LA FONTAINE,5008,Rue de la Fontaine ,9,Rue,50089ru,9,167,FLOIRAC,1420823.75,4187470.98,0,Floirac,19920310181800,20090430112628,167.0,16157.0,0.0,16157.0,16157.0,6169.0,9.0,62.0,224.0,6464.0,,,,,,fontaine,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
25,rue,DE FONTAUDIN,0113,Rue de Fontaudin ,28,Rue,011328ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,,fontaudin,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
26,ave,DE FONTAUDIN,1270,Avenue de Fontaudin ,15,Avenue,127015av,15,318,PESSAC,1408595.98,4183495.63,0,Pessac,19920310181800,20080925154448,318.0,56121.0,230.0,56351.0,56131.0,22025.0,181.0,178.0,935.0,23319.0,,,,,,fontaudin,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
27,rue,DES FOUGERES,0116,Rue des Fougères ,28,Rue,011628ru,28,13,ARTIGUESPRESBORDEAUX,1423119.0,4191118.86,0,Artigues-Près-Bordeaux,19920310181800,20091013130900,13.0,5983.0,91.0,6074.0,5984.0,1969.0,7.0,11.0,41.0,2028.0,,,,,,fougeres,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
28,rue,DES FOUGERES,0267,Rue des Fougères ,6,Rue,02676ru,6,56,BLANQUEFORT,1413725.57,4197385.21,0,Blanquefort,19920310181800,20080925154200,56.0,13899.0,693.0,14592.0,13899.0,5334.0,22.0,40.0,173.0,5569.0,,,,,,fougeres,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
29,rue,DES FOUGERES,0480,Rue des Fougères ,25,Rue,048025ru,25,200,LE HAILLAN,1407909.48,4191394.32,0,Le Haillan,19920310181800,20091119174748,200.0,8118.0,37.0,8155.0,8132.0,3040.0,13.0,7.0,82.0,3142.0,,,,,,fougeres,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
30,all,DES FOUGERES,5664,Allée des Fougères ,14,Allée,566414al,14,192,GRADIGNAN,1412269.47,4180306.34,0,Gradignan,19920310181800,20080925154356,192.0,21533.0,1040.0,22573.0,22191.0,9199.0,62.0,136.0,416.0,9813.0,,,,,,fougeres,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
