,type,street_simple,code_riv,street_full,code_commune,type_full,code_riv_commune,COM_code_commune,COM_code_ilot,COM_nom_commune_maj,COM_abscisse,COM_ordonne,COM_orientation,COM_nom_commune,COM_date_creation,COM_date_modifiction,ILOT_code_ilot_normalise,ILOT_pop_municipale,ILOT_pop_compté_a_part,ILOT_pop_totale,ILOT_pop_sans_double_compte,ILOT_nbr_residence_prin,ILOT_nbr_residence_secon,ILOT_NB_LOG_O,ILOT_nbr_logement_vancant,ILOT_nbr_logement_total,QUAR_code_rivoli,QUAR_nom_quartier,QUAR_nom_voie,QUAR_type,QUAR_code_rivoli_commune,nom_street_1,nom_street_2,prenoms_join_1,sexe_join_1,nombre_prenoms_sexe_join_1,nombre_prenoms_join_1,proportion_join_1,prenoms_join_2,sexe_join_2,nombre_prenoms_sexe_join_2,nombre_prenoms_join_2,proportion_join_2,title_name_1,title_genre_1,title_name_2,title_genre_2,title_coef,street_genre,perso_nom_1,perso_genre_1,perso_nom_2,perso_genre_2
1562,imp,FRANKLIN,0358,Impasse Franklin ,20,Impasse,035820im,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,franklin,,franklin,M,5.0,5.0,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,,Inconnu,,Inconnu
1563,pce,FRANKLIN,1090,Place Franklin ,21,Place,109021pl,21,522,TALENCE,1415028.63,4184582.36,0,Talence,19920310181800,20080925154556,522.0,37176.0,754.0,37930.0,37207.0,18811.0,103.0,287.0,1596.0,20797.0,,,,,,franklin,,franklin,M,5.0,5.0,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,,Inconnu,,Inconnu
1564,rue,FRANKLIN,3700,Rue Franklin ,18,Rue,370018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,3700,Centre-ville,RUE FRANKLIN,rue,370018ru,franklin,,franklin,M,5.0,5.0,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,,Inconnu,,Inconnu
1565,rue,FRANKLIN,0399,Rue Franklin ,13,Rue,039913ru,13,550,VILLENAVE D'ORNON,1416524.53,4180650.11,0,Villenave-d'Ornon,19920310181800,20140805093340,550.0,27496.0,134.0,27630.0,27500.0,10627.0,64.0,70.0,474.0,11235.0,,,,,,franklin,,franklin,M,5.0,5.0,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,,Inconnu,,Inconnu
1566,chem,DE LA FUT,5010,Chemin de la Fut ,20,Chemin,501020ch,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1567,rue,LE NOTRE,0436,Rue le Notre ,24,Rue,043624ru,24,162,EYSINES,1410803.23,4193110.77,0,Eysines,19920310181800,20080925154332,162.0,18401.0,193.0,18594.0,18405.0,6995.0,37.0,20.0,182.0,7234.0,,,,,,,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1568,rue,DES AS,0295,Rue des As ,15,Rue,029515ru,15,318,PESSAC,1408595.98,4183495.63,0,Pessac,19920310181800,20080925154448,318.0,56121.0,230.0,56351.0,56131.0,22025.0,181.0,178.0,935.0,23319.0,,,,,,,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1569,rue,GOYA,0372,Rue Goya ,20,Rue,037220ru,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,goya,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1570,rue,GOYA,4125,Rue Goya ,18,Rue,412518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,4125,Centre-ville,RUE GOYA,rue,412518ru,goya,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1571,rue,GOYA,0527,Rue Goya ,13,Rue,052713ru,13,550,VILLENAVE D'ORNON,1416524.53,4180650.11,0,Villenave-d'Ornon,19920310181800,20140805093340,550.0,27496.0,134.0,27630.0,27500.0,10627.0,64.0,70.0,474.0,11235.0,,,,,,goya,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1572,rue,GOYA,1535,Rue Goya ,15,Rue,153515ru,15,318,PESSAC,1408595.98,4183495.63,0,Pessac,19920310181800,20080925154448,318.0,56121.0,230.0,56351.0,56131.0,22025.0,181.0,178.0,935.0,23319.0,,,,,,goya,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1573,rue,GOYA,1245,Rue Goya ,16,Rue,124516ru,16,281,MERIGNAC,1407488.34,4187533.36,0,Mérignac,19920310181800,20130507130812,281.0,61843.0,948.0,62791.0,61988.0,27600.0,163.0,278.0,1553.0,29594.0,,,,,,goya,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1574,ave,DES GRIFFONS,0379,Avenue des Griffons ,20,Avenue,037920av,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,griffons,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1575,ave,DES GRIFFONS,0429,Avenue des Griffons ,3,Avenue,04293av,3,96,CARBONBLANC,1423406.23,4195318.53,0,Carbon-Blanc,19920310181800,20080925154304,96.0,6620.0,0.0,6620.0,6620.0,2567.0,17.0,13.0,62.0,2659.0,,,,,,griffons,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1576,rue,DU MOURA,0536,Rue du Moura ,20,Rue,053620ru,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,moura,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1577,rue,PASCAL,0553,Rue Pascal ,20,Rue,055320ru,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,pascal,,pascal,M,23.0,23.0,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,,Inconnu,,Inconnu
1578,rue,RACINE,0589,Rue Racine ,20,Rue,058920ru,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,racine,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,racine,M,,Inconnu
1579,rue,RACINE,1520,Rue Racine ,23,Rue,152023ru,23,69,LE BOUSCAT,1414160.57,4191121.81,0,Le Bouscat,19920310181800,20080925154240,69.0,22455.0,0.0,22455.0,22455.0,10315.0,82.0,117.0,701.0,11215.0,,,,,,racine,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,racine,M,,Inconnu
1580,rue,RACINE,0674,Rue Racine ,3,Rue,06743ru,3,96,CARBONBLANC,1423406.23,4195318.53,0,Carbon-Blanc,19920310181800,20080925154304,96.0,6620.0,0.0,6620.0,6620.0,2567.0,17.0,13.0,62.0,2659.0,,,,,,racine,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,racine,M,,Inconnu
1581,all,RACINE,0560,Allée Racine ,4,Allée,05604al,4,519,LE TAILLANMEDOC,1407898.05,4197000.86,0,Le Taillan-Médoc,19920310181800,20080925154544,519.0,7884.0,0.0,7884.0,7884.0,2738.0,14.0,11.0,63.0,2826.0,,,,,,racine,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,racine,M,,Inconnu
1582,rue,RACINE,1323,Rue Racine ,9,Rue,13239ru,9,167,FLOIRAC,1420823.75,4187470.98,0,Floirac,19920310181800,20090430112628,167.0,16157.0,0.0,16157.0,16157.0,6169.0,9.0,62.0,224.0,6464.0,,,,,,racine,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,racine,M,,Inconnu
1583,rue,RACINE,1255,Rue Racine ,13,Rue,125513ru,13,550,VILLENAVE D'ORNON,1416524.53,4180650.11,0,Villenave-d'Ornon,19920310181800,20140805093340,550.0,27496.0,134.0,27630.0,27500.0,10627.0,64.0,70.0,474.0,11235.0,,,,,,racine,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,racine,M,,Inconnu
1584,sq,RACINE,5001,Square Racine ,16,Sqaure,500116sq,16,281,MERIGNAC,1407488.34,4187533.36,0,Mérignac,19920310181800,20130507130812,281.0,61843.0,948.0,62791.0,61988.0,27600.0,163.0,278.0,1553.0,29594.0,,,,,,racine,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,racine,M,,Inconnu
1585,rue,RICHELIEU,0603,Rue Richelieu ,20,Rue,060320ru,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,richelieu,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,richelieu,M,,Inconnu
1586,chem,RICHELIEU,1353,Chemin Richelieu ,9,Chemin,13539ch,9,167,FLOIRAC,1420823.75,4187470.98,0,Floirac,19920310181800,20090430112628,167.0,16157.0,0.0,16157.0,16157.0,6169.0,9.0,62.0,224.0,6464.0,,,,,,richelieu,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,richelieu,M,,Inconnu
1587,quai,RICHELIEU,7940,Quai Richelieu ,18,Quai,794018qu,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,7940,Centre-ville,QUAI DE RICHELIEU,quai,794018qu,richelieu,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,richelieu,M,,Inconnu
1588,rue,DE ROME,0608,Rue de Rome ,20,Rue,060820ru,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,rome,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1589,ave,SAINT-EXUPERY,0616,Avenue Saint-Exupéry ,20,Avenue,061620av,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,saint-exupery,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,saint-exupery,M,,Inconnu
1590,ave,SAINT-EXUPERY,1853,Avenue Saint-Exupéry ,12,Avenue,185312av,12,39,BEGLES,1418285.76,4183574.06,0,Bègles,19920310181800,20080925154148,39.0,22468.0,73.0,22541.0,22473.0,9684.0,21.0,53.0,550.0,10308.0,,,,,,saint-exupery,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,saint-exupery,M,,Inconnu
1591,ave,SAINT-EXUPERY,0355,Avenue Saint-Exupéry ,22,Avenue,035522av,22,75,BRUGES,1414781.69,4193674.64,0,Bruges,19920310181800,20080925154252,75.0,10610.0,0.0,10610.0,10610.0,4327.0,12.0,32.0,157.0,4528.0,,,,,,saint-exupery,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,saint-exupery,M,,Inconnu
1592,all,SAINT-EXUPERY,9279,Allée Saint-Exupéry ,14,Allée,927914al,14,192,GRADIGNAN,1412269.47,4180306.34,0,Gradignan,19920310181800,20080925154356,192.0,21533.0,1040.0,22573.0,22191.0,9199.0,62.0,136.0,416.0,9813.0,,,,,,saint-exupery,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,saint-exupery,M,,Inconnu
1593,rue,SAINT-EXUPERY,1630,Rue Saint-Exupéry ,23,Rue,163023ru,23,69,LE BOUSCAT,1414160.57,4191121.81,0,Le Bouscat,19920310181800,20080925154240,69.0,22455.0,0.0,22455.0,22455.0,10315.0,82.0,117.0,701.0,11215.0,,,,,,saint-exupery,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,saint-exupery,M,,Inconnu
1594,rue,SAINT-EXUPERY,1705,Rue Saint-Exupéry ,19,Rue,170519ru,19,119,CENON,1420563.36,4190043.75,0,Cenon,19920310181800,20080925154316,119.0,21282.0,131.0,21413.0,21282.0,8721.0,24.0,59.0,388.0,9192.0,,,,,,saint-exupery,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,saint-exupery,M,,Inconnu
1595,rue,SAINT-EXUPERY,1002,Rue Saint-Exupéry ,17,Rue,100217ru,17,449,SAINT MEDARD EN JALLES,1398831.98,4193542.49,0,Saint-Médard-en-Jalles,19920310181800,20091119174748,449.0,25566.0,79.0,25645.0,25566.0,9366.0,47.0,33.0,211.0,9657.0,,,,,,saint-exupery,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,saint-exupery,M,,Inconnu
1596,pce,SAINT-EXUPERY,1393,Place Saint-Exupéry ,13,Place,139313pl,13,550,VILLENAVE D'ORNON,1416524.53,4180650.11,0,Villenave-d'Ornon,19920310181800,20140805093340,550.0,27496.0,134.0,27630.0,27500.0,10627.0,64.0,70.0,474.0,11235.0,,,,,,saint-exupery,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,saint-exupery,M,,Inconnu
1597,rue,SAINT-EXUPERY,1396,Rue Saint-Exupéry ,13,Rue,139613ru,13,550,VILLENAVE D'ORNON,1416524.53,4180650.11,0,Villenave-d'Ornon,19920310181800,20140805093340,550.0,27496.0,134.0,27630.0,27500.0,10627.0,64.0,70.0,474.0,11235.0,,,,,,saint-exupery,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,saint-exupery,M,,Inconnu
1598,ave,SAINT-EXUPERY,3120,Avenue Saint-Exupéry ,15,Avenue,312015av,15,318,PESSAC,1408595.98,4183495.63,0,Pessac,19920310181800,20080925154448,318.0,56121.0,230.0,56351.0,56131.0,22025.0,181.0,178.0,935.0,23319.0,,,,,,saint-exupery,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,saint-exupery,M,,Inconnu
1599,pce,SAINT-EXUPERY,2620,Place Saint-Exupéry ,16,Place,262016pl,16,281,MERIGNAC,1407488.34,4187533.36,0,Mérignac,19920310181800,20130507130812,281.0,61843.0,948.0,62791.0,61988.0,27600.0,163.0,278.0,1553.0,29594.0,,,,,,saint-exupery,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,saint-exupery,M,,Inconnu
1600,rue,DES SOEURS,0624,Rue des Soeurs ,20,Rue,062420ru,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,soeurs,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1601,ave,DE LA SOMME,0627,Avenue de la Somme ,20,Avenue,062720av,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,somme,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1602,ave,DE LA SOMME,0370,Avenue de la Somme ,22,Avenue,037022av,22,75,BRUGES,1414781.69,4193674.64,0,Bruges,19920310181800,20080925154252,75.0,10610.0,0.0,10610.0,10610.0,4327.0,12.0,32.0,157.0,4528.0,,,,,,somme,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1603,crs,DE LA SOMME,8705,Cours de la Somme ,18,Cours,870518co,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,8705,Bordeaux sud,COURS DE LA SOMME,cours,870518co,somme,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1604,rue,DE LA SOMME,3090,Rue de la Somme ,15,Rue,309015ru,15,318,PESSAC,1408595.98,4183495.63,0,Pessac,19920310181800,20080925154448,318.0,56121.0,230.0,56351.0,56131.0,22025.0,181.0,178.0,935.0,23319.0,,,,,,somme,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1605,ave,DE LA SOMME,2665,Avenue de la Somme ,16,Avenue,266516av,16,281,MERIGNAC,1407488.34,4187533.36,0,Mérignac,19920310181800,20130507130812,281.0,61843.0,948.0,62791.0,61988.0,27600.0,163.0,278.0,1553.0,29594.0,,,,,,somme,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1606,chem,DE LA SUZANNE,5026,Chemin de la Suzanne ,9,Chemin,50269ch,9,167,FLOIRAC,1420823.75,4187470.98,0,Floirac,19920310181800,20090430112628,167.0,16157.0,0.0,16157.0,16157.0,6169.0,9.0,62.0,224.0,6464.0,,,,,,suzanne,,suzanne,F,406.0,406.0,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,F,,Inconnu,,Inconnu
1607,rue,SYBILLE,0632,Rue Sybille ,20,Rue,063220ru,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,sybille,,sybille,F,15.0,15.0,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,F,,Inconnu,,Inconnu
1608,rue,DU TERTRE,0639,Rue du Tertre ,20,Rue,063920ru,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,tertre,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1609,all,DU TERTRE,0616,Allée du Tertre ,4,Allée,06164al,4,519,LE TAILLANMEDOC,1407898.05,4197000.86,0,Le Taillan-Médoc,19920310181800,20080925154544,519.0,7884.0,0.0,7884.0,7884.0,2738.0,14.0,11.0,63.0,2826.0,,,,,,tertre,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1610,rue,TOULOUSE-LAUTREC,0644,Rue Toulouse-Lautrec ,20,Rue,064420ru,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,toulouse-lautrec,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1611,rue,TOULOUSE-LAUTREC,0568,Rue Toulouse-Lautrec ,24,Rue,056824ru,24,162,EYSINES,1410803.23,4193110.77,0,Eysines,19920310181800,20080925154332,162.0,18401.0,193.0,18594.0,18405.0,6995.0,37.0,20.0,182.0,7234.0,,,,,,toulouse-lautrec,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1612,rue,TOULOUSE-LAUTREC,1055,Rue Toulouse-Lautrec ,17,Rue,105517ru,17,449,SAINT MEDARD EN JALLES,1398831.98,4193542.49,0,Saint-Médard-en-Jalles,19920310181800,20091119174748,449.0,25566.0,79.0,25645.0,25566.0,9366.0,47.0,33.0,211.0,9657.0,,,,,,toulouse-lautrec,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1613,rue,TOULOUSE-LAUTREC,1445,Rue Toulouse-Lautrec ,13,Rue,144513ru,13,550,VILLENAVE D'ORNON,1416524.53,4180650.11,0,Villenave-d'Ornon,19920310181800,20140805093340,550.0,27496.0,134.0,27630.0,27500.0,10627.0,64.0,70.0,474.0,11235.0,,,,,,toulouse-lautrec,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1614,pce,TOULOUSE-LAUTREC,3222,Place Toulouse-Lautrec ,15,Place,322215pl,15,318,PESSAC,1408595.98,4183495.63,0,Pessac,19920310181800,20080925154448,318.0,56121.0,230.0,56351.0,56131.0,22025.0,181.0,178.0,935.0,23319.0,,,,,,toulouse-lautrec,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1615,all,TOURNESOL,0647,Allée Tournesol ,20,Allée,064720al,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,tournesol,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1616,all,DU TOURNESOL,2709,Allée du Tournesol ,16,Allée,270916al,16,281,MERIGNAC,1407488.34,4187533.36,0,Mérignac,19920310181800,20130507130812,281.0,61843.0,948.0,62791.0,61988.0,27600.0,163.0,278.0,1553.0,29594.0,,,,,,tournesol,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1617,all,DE LA BARANQUINE,0237,Allée de la Baranquine ,20,Allée,023720al,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,baranquine,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1618,rue,LAFFUE,0437,Rue Laffue ,20,Rue,043720ru,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,laffue,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1619,chem,DE LAFFUE,0062,Chemin de Laffue ,8,Chemin,00628ch,8,65,BOULIAC,1421893.28,4185284.32,0,Bouliac,19920310181800,20080925154228,65.0,3248.0,42.0,3290.0,3248.0,1151.0,5.0,21.0,37.0,1214.0,,,,,,laffue,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1620,rue,GUYNEMER,0383,Rue Guynemer ,20,Rue,038320ru,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,guynemer,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,guynemer,M,,Inconnu
1621,rue,GUYNEMER,0970,Rue Guynemer ,12,Rue,097012ru,12,39,BEGLES,1418285.76,4183574.06,0,Bègles,19920310181800,20080925154148,39.0,22468.0,73.0,22541.0,22473.0,9684.0,21.0,53.0,550.0,10308.0,,,,,,guynemer,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,guynemer,M,,Inconnu
1622,rue,GUYNEMER,0068,Rue Guynemer ,5,Rue,00685ru,5,4,AMBES,1420200.6,4206934.78,0,Ambès,19920310181800,20080925154052,4.0,2824.0,0.0,2824.0,2824.0,1002.0,4.0,10.0,75.0,1091.0,,,,,,guynemer,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,guynemer,M,,Inconnu
1623,rue,GUYNEMER,0280,Rue Guynemer ,24,Rue,028024ru,24,162,EYSINES,1410803.23,4193110.77,0,Eysines,19920310181800,20080925154332,162.0,18401.0,193.0,18594.0,18405.0,6995.0,37.0,20.0,182.0,7234.0,,,,,,guynemer,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,guynemer,M,,Inconnu
1624,rue,GUYNEMER,0580,Rue Guynemer ,13,Rue,058013ru,13,550,VILLENAVE D'ORNON,1416524.53,4180650.11,0,Villenave-d'Ornon,19920310181800,20140805093340,550.0,27496.0,134.0,27630.0,27500.0,10627.0,64.0,70.0,474.0,11235.0,,,,,,guynemer,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,guynemer,M,,Inconnu
1625,imp,GUYNEMER,1255,Impasse Guynemer ,16,Impasse,125516im,16,281,MERIGNAC,1407488.34,4187533.36,0,Mérignac,19920310181800,20130507130812,281.0,61843.0,948.0,62791.0,61988.0,27600.0,163.0,278.0,1553.0,29594.0,,,,,,guynemer,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,M,guynemer,M,,Inconnu
1626,rue,JOLIOT-CURIE,0421,Rue Joliot-Curie ,20,Rue,042120ru,20,32,BASSENS,1420917.39,4196043.49,0,Bassens,19920310181800,20080925154132,32.0,6978.0,0.0,6978.0,6978.0,2569.0,6.0,12.0,90.0,2677.0,,,,,,joliot-curie,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
1627,rue,JOLIOT-CURIE,0544,Rue Joliot-Curie ,25,Rue,054425ru,25,200,LE HAILLAN,1407909.48,4191394.32,0,Le Haillan,19920310181800,20091119174748,200.0,8118.0,37.0,8155.0,8132.0,3040.0,13.0,7.0,82.0,3142.0,,,,,,joliot-curie,,,Inconnu,,,1.0,,Inconnu,,,1.0,,Inconnu,,Inconnu,0,Inconnu,,Inconnu,,Inconnu
