index,type,street_simple,code_riv,street_full,code_commune,type_full,code_riv_commune,COM_code_commune,COM_code_ilot,COM_nom_commune_maj,COM_abscisse,COM_ordonne,COM_orientation,COM_nom_commune,COM_date_creation,COM_date_modifiction,ILOT_code_ilot_normalise,ILOT_pop_municipale,ILOT_pop_compté_a_part,ILOT_pop_totale,ILOT_pop_sans_double_compte,ILOT_nbr_residence_prin,ILOT_nbr_residence_secon,ILOT_NB_LOG_O,ILOT_nbr_logement_vancant,ILOT_nbr_logement_total,QUAR_code_rivoli,QUAR_nom_quartier,QUAR_nom_voie,QUAR_type,QUAR_code_rivoli_commune
6657,rue,DE BLANQUEFORT,0975,Rue de Blanquefort ,18,Rue,097518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,0975,Chartrons Grand-Parc Jardin Public,RUE DE BLANQUEFORT,rue,097518ru
6658,rue,BLANQUI,0980,Rue Blanqui ,18,Rue,098018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,0980,Bordeaux maritime,RUE BLANQUI,rue,098018ru
6659,all,BLERIOT CAUD,0990,Allée Blériot  ,18,Allée,099018al,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,0990,Caudéran,ALLEE BLERIOT,allee,099018al
6660,rue,DES BLEUETS CAUD,0995,Rue des Bleuets  ,18,Rue,099518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,0995,Caudéran,RUE DES BLEUETS,rue,099518ru
6661,rue,DU BOCAGE CAUD,1010,Rue du Bocage  ,18,Rue,101018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1010,Caudéran,RUE DU BOCAGE,rue,101018ru
6662,rue,BOILEAU,1025,Rue Boileau ,18,Rue,102518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1025,Bordeaux maritime,RUE BOILEAU,rue,102518ru
6663,all,DU BOIS,1027,Allée du Bois ,18,Allée,102718al,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1027,Bordeaux maritime,ALLEE DU BOIS,allee,102718al
6664,rue,BOISTAUD CAUD,1030,Rue Boistaud  ,18,Rue,103018ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1030,Caudéran,RUE BOISTAUD,rue,103018ru
6665,rue,BOLIVAR,1035,Rue Bolivar ,18,Rue,103518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1035,Bordeaux maritime,RUE BOLIVAR,rue,103518ru
6666,rue,BONGRAND,1045,Rue Bongrand ,18,Rue,104518ru,18,63,BORDEAUX,1415898.46,4188713.91,0,Bordeaux,19920310181800,20091123155104,63.0,215180.0,1856.0,217036.0,215352.0,113897.0,992.0,2322.0,15570.0,132781.0,1045,Centre-ville,RUE BONGRAND,rue,104518ru
